feature,O_noagg,O_noagg_z,O_sink,O_sink_z,ships_O,D_noagg,D_noagg_z,D_sink,D_sink_z,ships_D
weight,A,8.12,A,8.0,,A,2.7,A,2.35,
gs_pct,A,-0.03,R,-0.18,yes,A,4.58,A,4.21,yes
stl,A,0.96,A,0.75,yes,A,3.3,A,-0.15,yes
past_rapm,A,0.17,A,-0.15,yes,A,3.04,A,2.8,
past_apm,A,1.15,A,1.3,yes,A,2.02,A,1.41,
exp_poss,A,1.95,A,2.27,,A,1.04,A,0.75,
age,A,1.06,A,1.08,yes,A,0.85,A,0.84,yes
russ,R,-0.29,R,-0.24,,A,2.03,R,-0.21,
pf,A,0.61,A,0.23,yes,A,1.01,A,0.25,yes
turn,A,0.93,A,0.97,,A,0.39,A,0.25,
height,R,-0.15,R,-0.11,,A,1.39,A,1.19,
fg3m,A,1.46,A,0.41,yes,R,-0.29,R,-0.26,
fg3_miss,A,0.57,A,0.83,yes,A,0.31,R,-0.21,yes
ftm,A,0.83,A,-0.01,yes,R,-0.09,R,-0.23,
entry_age,R,-0.17,R,-0.13,,A,0.78,A,0.74,
past_poss,A,0.14,A,0.19,yes,A,0.38,A,0.39,
unast_r,A,0.74,R,-0.24,,T,-0.3,R,-0.3,
ts,A,0.72,A,0.62,yes,R,-0.28,R,-0.23,
blkrim,R,-0.11,R,-0.23,,A,0.52,R,-0.09,
fg2m,R,-0.25,R,-0.26,,A,0.31,R,-0.16,yes
orbsh,A,0.15,A,0.1,yes,R,-0.13,R,-0.2,
blk,R,-0.19,R,-0.11,,A,0.19,R,-0.22,yes
orb,A,0.31,A,0.42,yes,T,-0.32,R,-0.02,yes
ftp,A,0.09,A,0.12,yes,R,-0.12,R,-0.21,
astr,R,-0.21,R,-0.26,,A,0.15,A,-0.08,
tovr,A,0.05,R,-0.12,yes,R,-0.17,R,-0.25,
blk3sh,R,-0.16,R,-0.2,,R,0.02,A,0.11,
ast,A,0.21,R,-0.26,yes,R,-0.37,R,-0.31,
poss_pct,A,-0.05,A,-0.14,yes,R,-0.16,R,-0.02,
n_teams,R,-0.21,R,-0.22,,A,-0.04,A,-0.14,
exp_yrs,A,-0.04,A,0.0,,R,-0.24,T,-0.23,
fg2_miss,R,-0.25,R,-0.14,,A,-0.04,R,-0.23,yes
