system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,d0,o1,d1,o2,o3,o4,d2,d3,d4
mspi_linear,mspi,2,1998,linear,linear,1.2681,1.40715,1.02853,1.00599,,,,,,,,
mspi_linear,mspi,2,1999,linear,linear,1.2681,1.40715,1.0338,1.00422,,,,,,,,
mspi_linear,mspi,2,2000,linear,linear,1.2681,1.40715,1.03449,1.00729,,,,,,,,
mspi_linear,mspi,2,2001,linear,linear,1.2681,1.40715,1.02866,1.00587,,,,,,,,
mspi_linear,mspi,2,2002,linear,linear,1.2681,1.40715,1.0302,1.01058,,,,,,,,
mspi_linear,mspi,2,2003,linear,linear,1.2681,1.40715,1.03229,1.01135,,,,,,,,
mspi_linear,mspi,2,2004,linear,linear,1.2681,1.40715,1.03079,0.99845,,,,,,,,
mspi_linear,mspi,2,2005,linear,linear,1.2681,1.40715,1.02858,1.00462,,,,,,,,
mspi_linear,mspi,2,2006,linear,linear,1.2681,1.40715,1.02918,0.99845,,,,,,,,
mspi_linear,mspi,2,2007,linear,linear,1.2681,1.40715,1.03612,1.00077,,,,,,,,
mspi_linear,mspi,2,2008,linear,linear,1.2681,1.40715,1.02282,1.00063,,,,,,,,
mspi_linear,mspi,2,2009,linear,linear,1.2681,1.40715,1.04105,1.00195,,,,,,,,
mspi_linear,mspi,2,2010,linear,linear,1.2681,1.40715,1.03341,1.00539,,,,,,,,
mspi_linear,mspi,2,2011,linear,linear,1.2681,1.40715,1.03472,1.00144,,,,,,,,
mspi_linear,mspi,2,2012,linear,linear,1.2681,1.40715,1.03452,1.00433,,,,,,,,
mspi_linear,mspi,2,2013,linear,linear,1.2681,1.40715,1.03039,1.00478,,,,,,,,
mspi_linear,mspi,2,2014,linear,linear,1.2681,1.40715,1.03919,1.014,,,,,,,,
mspi_linear,mspi,2,2015,linear,linear,1.2681,1.40715,1.02458,1.01409,,,,,,,,
mspi_linear,mspi,2,2016,linear,linear,1.2681,1.40715,1.03888,1.00575,,,,,,,,
mspi_linear,mspi,2,2017,linear,linear,1.2681,1.40715,1.02744,1.00816,,,,,,,,
mspi_linear,mspi,2,2018,linear,linear,1.2681,1.40715,1.03384,1.0065,,,,,,,,
mspi_linear,mspi,2,2019,linear,linear,1.2681,1.40715,1.03524,1.00206,,,,,,,,
mspi_linear,mspi,2,2020,linear,linear,1.2681,1.40715,1.03445,0.99571,,,,,,,,
mspi_linear,mspi,2,2021,linear,linear,1.2681,1.40715,1.0191,1.00659,,,,,,,,
mspi_linear,mspi,2,2022,linear,linear,1.2681,1.40715,1.03559,0.99717,,,,,,,,
mspi_linear,mspi,2,2023,linear,linear,1.2681,1.40715,1.03401,1.00368,,,,,,,,
mspi_linear,mspi,2,2024,linear,linear,1.2681,1.40715,1.02638,0.99957,,,,,,,,
mspi_linear,mspi,2,2025,linear,linear,1.2681,1.40715,1.02615,1.0066,,,,,,,,
mspi_linear,mspi,2,-1,linear,linear,1.2681,1.40715,1.03158,1.00449,,,,,,,,
mspi_poly2,mspi,2,1998,poly2,poly2,1.2681,1.40715,0.9987,0.99287,0.03409,-0.02469,,,,,,
mspi_poly2,mspi,2,1999,poly2,poly2,1.2681,1.40715,0.99541,0.99154,0.04307,-0.02438,,,,,,
mspi_poly2,mspi,2,2000,poly2,poly2,1.2681,1.40715,0.9991,0.99216,0.03989,-0.02927,,,,,,
mspi_poly2,mspi,2,2001,poly2,poly2,1.2681,1.40715,0.99733,0.99459,0.03499,-0.02158,,,,,,
mspi_poly2,mspi,2,2002,poly2,poly2,1.2681,1.40715,0.99646,0.99706,0.03854,-0.02611,,,,,,
mspi_poly2,mspi,2,2003,poly2,poly2,1.2681,1.40715,0.99941,0.99783,0.03689,-0.02603,,,,,,
mspi_poly2,mspi,2,2004,poly2,poly2,1.2681,1.40715,0.99795,0.98861,0.0376,-0.01868,,,,,,
mspi_poly2,mspi,2,2005,poly2,poly2,1.2681,1.40715,0.99986,0.99456,0.03241,-0.01953,,,,,,
mspi_poly2,mspi,2,2006,poly2,poly2,1.2681,1.40715,0.99778,0.9873,0.03568,-0.0223,,,,,,
mspi_poly2,mspi,2,2007,poly2,poly2,1.2681,1.40715,1.00661,0.99051,0.03329,-0.01932,,,,,,
mspi_poly2,mspi,2,2008,poly2,poly2,1.2681,1.40715,0.97936,0.98918,0.04885,-0.02227,,,,,,
mspi_poly2,mspi,2,2009,poly2,poly2,1.2681,1.40715,1.00429,0.98903,0.04127,-0.02409,,,,,,
mspi_poly2,mspi,2,2010,poly2,poly2,1.2681,1.40715,0.99873,0.99198,0.03899,-0.02623,,,,,,
mspi_poly2,mspi,2,2011,poly2,poly2,1.2681,1.40715,0.99343,0.99079,0.0463,-0.02011,,,,,,
mspi_poly2,mspi,2,2012,poly2,poly2,1.2681,1.40715,0.99617,0.9921,0.04287,-0.02354,,,,,,
mspi_poly2,mspi,2,2013,poly2,poly2,1.2681,1.40715,0.99953,0.99529,0.03458,-0.01816,,,,,,
mspi_poly2,mspi,2,2014,poly2,poly2,1.2681,1.40715,1.00191,1.00227,0.04242,-0.02261,,,,,,
mspi_poly2,mspi,2,2015,poly2,poly2,1.2681,1.40715,0.98442,1.00073,0.04564,-0.0255,,,,,,
mspi_poly2,mspi,2,2016,poly2,poly2,1.2681,1.40715,1.0112,0.99269,0.03193,-0.02499,,,,,,
mspi_poly2,mspi,2,2017,poly2,poly2,1.2681,1.40715,0.99195,0.99639,0.0411,-0.02222,,,,,,
mspi_poly2,mspi,2,2018,poly2,poly2,1.2681,1.40715,0.99889,0.9953,0.0394,-0.02129,,,,,,
mspi_poly2,mspi,2,2019,poly2,poly2,1.2681,1.40715,1.00322,0.98736,0.03621,-0.02806,,,,,,
mspi_poly2,mspi,2,2020,poly2,poly2,1.2681,1.40715,1.00064,0.98099,0.03828,-0.02806,,,,,,
mspi_poly2,mspi,2,2021,poly2,poly2,1.2681,1.40715,0.98494,0.99475,0.03812,-0.02252,,,,,,
mspi_poly2,mspi,2,2022,poly2,poly2,1.2681,1.40715,0.99779,0.98378,0.04261,-0.02545,,,,,,
mspi_poly2,mspi,2,2023,poly2,poly2,1.2681,1.40715,0.99932,0.99232,0.03858,-0.02136,,,,,,
mspi_poly2,mspi,2,2024,poly2,poly2,1.2681,1.40715,0.98887,0.98578,0.04253,-0.02607,,,,,,
mspi_poly2,mspi,2,2025,poly2,poly2,1.2681,1.40715,0.992,0.99315,0.0387,-0.02564,,,,,,
mspi_poly2,mspi,2,-1,poly2,poly2,1.2681,1.40715,0.99697,0.99216,0.0391,-0.02357,,,,,,
mspi_hinge,mspi,2,1998,hinge,hinge,1.2681,1.40715,1.08779,0.88542,0.935,1.09861,,,,,,
mspi_hinge,mspi,2,1999,hinge,hinge,1.2681,1.40715,1.12212,0.88517,0.89185,1.09629,,,,,,
mspi_hinge,mspi,2,2000,hinge,hinge,1.2681,1.40715,1.11111,0.87343,0.91192,1.11079,,,,,,
mspi_hinge,mspi,2,2001,hinge,hinge,1.2681,1.40715,1.09294,0.89472,0.92575,1.09168,,,,,,
mspi_hinge,mspi,2,2002,hinge,hinge,1.2681,1.40715,1.10476,0.8782,0.91207,1.11314,,,,,,
mspi_hinge,mspi,2,2003,hinge,hinge,1.2681,1.40715,1.10496,0.88914,0.91594,1.10584,,,,,,
mspi_hinge,mspi,2,2004,hinge,hinge,1.2681,1.40715,1.10265,0.89647,0.91671,1.07693,,,,,,
mspi_hinge,mspi,2,2005,hinge,hinge,1.2681,1.40715,1.0867,0.90519,0.93597,1.08163,,,,,,
mspi_hinge,mspi,2,2006,hinge,hinge,1.2681,1.40715,1.09846,0.89134,0.91879,1.08194,,,,,,
mspi_hinge,mspi,2,2007,hinge,hinge,1.2681,1.40715,1.09514,0.90373,0.94192,1.07539,,,,,,
