system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,o2,o3,o4,o5,o6,d0,d1,d2,d3,d4,d5,d6,o7,d7
mspi1_best_apm_linear+log2&age2&xlog&prior,mspi1_best_apm,3,1998,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.87924,2.31577,0.28336,2.77472,-0.60445,0.03626,-0.23823,0.40934,-0.16452,0.69912,-2.97914,0.71485,-0.23354,0.18281,-0.01078,0.34363,,
mspi1_best_apm_linear+log2&age2&xlog&prior,mspi1_best_apm,3,1999,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.87924,2.31577,0.2645,2.67142,-0.57723,0.04344,-0.23218,0.42031,-0.13218,0.71616,-2.95891,0.70433,-0.2158,0.17894,-0.02542,0.31791,,
mspi1_best_apm_linear+log2&age2&xlog&prior,mspi1_best_apm,3,2000,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.87924,2.31577,0.27222,2.74755,-0.60269,0.03212,-0.22462,0.41648,-0.13301,0.73369,-2.92754,0.69593,-0.21143,0.18785,-0.03979,0.29403,,
mspi1_best_apm_linear+log2&age2&xlog&prior,mspi1_best_apm,3,2001,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.87924,2.31577,0.26814,2.67035,-0.57892,0.04755,-0.24866,0.41288,-0.11894,0.72426,-2.97879,0.71256,-0.21588,0.18482,-0.04357,0.3922,,
mspi1_best_apm_linear+log2&age2&xlog&prior,mspi1_best_apm,3,2002,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.87924,2.31577,0.28922,2.64595,-0.57483,0.05614,-0.23458,0.39411,-0.11606,0.74701,-2.88711,0.68172,-0.21647,0.19561,-0.05188,0.30264,,
mspi1_best_apm_linear+log2&age2&xlog&prior,mspi1_best_apm,3,2003,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.87924,2.31577,0.26043,2.63275,-0.57421,0.03203,-0.22774,0.43545,-0.14283,0.72844,-3.01257,0.71559,-0.21353,0.17507,-0.03776,0.31198,,
mspi1_best_apm_linear+log2&age2&xlog&prior,mspi1_best_apm,3,2004,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.87924,2.31577,0.25356,2.68079,-0.57257,0.04091,-0.22086,0.41912,-0.1152,0.72106,-2.99443,0.71414,-0.21093,0.18751,-0.03675,0.32983,,
mspi1_best_apm_linear+log2&age2&xlog&prior,mspi1_best_apm,3,2005,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.87924,2.31577,0.3099,2.66677,-0.58254,0.05111,-0.22976,0.3887,-0.1497,0.76452,-2.92099,0.69995,-0.22697,0.19641,-0.08709,0.34842,,
mspi1_best_apm_linear+log2&age2&xlog&prior,mspi1_best_apm,3,2006,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.87924,2.31577,0.29432,2.72594,-0.59795,0.05468,-0.23356,0.39926,-0.14511,0.7512,-2.9324,0.69583,-0.20635,0.18261,-0.06312,0.30179,,
mspi1_best_apm_linear+log2&age2&xlog&prior,mspi1_best_apm,3,2007,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.87924,2.31577,0.27782,2.69684,-0.58266,0.03055,-0.21975,0.41706,-0.14445,0.7399,-2.94609,0.70582,-0.22261,0.19654,-0.0461,0.29742,,
mspi1_best_apm_linear+log2&age2&xlog&prior,mspi1_best_apm,3,2008,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.87924,2.31577,0.22173,2.76506,-0.60352,0.05222,-0.22361,0.44555,-0.11601,0.75099,-2.96266,0.70724,-0.20736,0.1857,-0.06361,0.31536,,
mspi1_best_apm_linear+log2&age2&xlog&prior,mspi1_best_apm,3,2009,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.87924,2.31577,0.26838,2.60317,-0.5543,0.03908,-0.2216,0.41668,-0.12738,0.75373,-2.99186,0.71892,-0.22905,0.17996,-0.0651,0.30473,,
mspi1_best_apm_linear+log2&age2&xlog&prior,mspi1_best_apm,3,2010,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.87924,2.31577,0.25774,2.79021,-0.60802,0.05285,-0.24214,0.4236,-0.13201,0.71954,-3.01232,0.72435,-0.23127,0.19166,-0.02276,0.29897,,
mspi1_best_apm_linear+log2&age2&xlog&prior,mspi1_best_apm,3,2011,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.87924,2.31577,0.22913,2.76715,-0.60198,0.04624,-0.23015,0.45019,-0.1341,0.74149,-2.95295,0.71122,-0.22056,0.19213,-0.06405,0.37546,,
