system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,o2,o3,d0,d1,d2,d3,o4,d4,o5,d5
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,1998,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76639,2.7868,0.01625,-0.25573,0.77602,-2.9472,-0.11254,0.09621,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,1999,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76908,2.70139,0.0294,-0.2419,0.77464,-3.0061,-0.10068,0.0965,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2000,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76845,2.72081,0.01743,-0.23169,0.77255,-3.00194,-0.09817,0.10748,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2001,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76696,2.69294,0.03144,-0.25579,0.77724,-2.98058,-0.09598,0.09803,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2002,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76269,2.68856,0.04447,-0.23983,0.77894,-3.00225,-0.10547,0.1171,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2003,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.78011,2.53619,0.0207,-0.24247,0.77509,-3.12974,-0.09958,0.0953,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2004,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76037,2.80133,0.03,-0.22935,0.76817,-3.05098,-0.09268,0.10274,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2005,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76752,2.6657,0.0373,-0.23628,0.77015,-2.9693,-0.10865,0.11085,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2006,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76484,2.71624,0.04202,-0.2424,0.77013,-3.05098,-0.08896,0.09754,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2007,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.77293,2.74507,0.01796,-0.23079,0.77468,-2.96617,-0.10757,0.11453,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2008,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.75689,2.72389,0.03986,-0.23048,0.77051,-3.01626,-0.09217,0.10194,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2009,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.77487,2.67159,0.02727,-0.23406,0.77018,-2.99535,-0.11008,0.09533,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2010,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76464,2.79069,0.03846,-0.25014,0.77626,-2.9838,-0.11041,0.1055,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2011,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76958,2.72668,0.03328,-0.2421,0.77315,-2.9587,-0.10196,0.10147,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2012,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76956,2.6694,0.0315,-0.23464,0.77471,-3.0234,-0.09936,0.09981,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2013,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.75983,2.8051,0.03356,-0.25117,0.77873,-3.0033,-0.09359,0.08872,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2014,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.7734,2.69983,0.02219,-0.24196,0.78757,-2.92847,-0.0847,0.0881,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2015,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76467,2.73328,0.00877,-0.2242,0.77703,-2.99084,-0.10781,0.09636,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2016,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76964,2.73361,0.03568,-0.2355,0.77824,-2.93883,-0.09916,0.10427,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2017,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76386,2.76152,0.03173,-0.24971,0.77575,-3.09634,-0.08997,0.0923,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2018,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76945,2.82033,0.02022,-0.23341,0.77072,-3.14641,-0.10655,0.10289,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2019,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.77592,2.75766,0.02189,-0.22549,0.77411,-2.97316,-0.10847,0.10688,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2020,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76865,2.7821,0.02584,-0.23826,0.77036,-3.02371,-0.09295,0.09218,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2021,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76337,2.71503,0.00907,-0.22408,0.78022,-2.94207,-0.09912,0.10301,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2022,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76721,2.83287,0.02086,-0.22889,0.77074,-2.7963,-0.11496,0.10933,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2023,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.77054,2.71803,0.04251,-0.24306,0.78227,-2.98009,-0.10376,0.11187,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2024,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.77533,2.58319,0.01148,-0.23658,0.7669,-2.98359,-0.11885,0.09895,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,2025,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76864,2.65923,0.0178,-0.22031,0.77725,-2.98408,-0.10428,0.10365,,,,
mspi1_lam05_linear+sat&age2,mspi1_lam05,3,-1,linear+sat&age2,linear+sat&age2,1.589,1.81189,0.76804,2.72278,0.02715,-0.2375,0.77472,-2.99536,-0.10169,0.10137,,,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,1998,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.03081,3.53926,-0.00495,-0.23541,1.17564,-2.79005,-0.11923,0.09744,1.39186,-0.81395,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,1999,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.14432,3.56234,0.00624,-0.21798,1.21978,-2.83266,-0.10874,0.09807,1.59534,-0.9077,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2000,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.09271,3.53515,-0.00409,-0.20849,1.26767,-2.81143,-0.10742,0.10903,1.50262,-1.00995,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2001,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.14365,3.55948,0.0088,-0.23194,1.2871,-2.78026,-0.10639,0.09998,1.58984,-1.0402,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2002,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.03353,3.43571,0.02445,-0.21841,1.27624,-2.80973,-0.11511,0.119,1.3913,-1.01505,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2003,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.15157,3.43587,-0.0024,-0.21933,1.21493,-2.95513,-0.10819,0.09674,1.62628,-0.8978,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2004,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.14666,3.65187,0.0074,-0.20626,1.22945,-2.87016,-0.10202,0.10435,1.58501,-0.94173,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2005,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.07397,3.45949,0.01694,-0.21545,1.3641,-2.74248,-0.11953,0.11263,1.46907,-1.21253,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2006,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.05862,3.49448,0.02094,-0.2206,1.27048,-2.85737,-0.09848,0.09901,1.43857,-1.02101,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2007,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.13529,3.62113,-0.00564,-0.20608,1.28253,-2.76667,-0.11731,0.11658,1.58497,-1.03609,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2008,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.29025,3.71814,0.01391,-0.20362,1.28554,-2.81151,-0.10138,0.10323,1.82918,-1.0501,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2009,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.1822,3.57603,0.00392,-0.20931,1.2491,-2.80918,-0.11847,0.09666,1.67133,-0.97639,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2010,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.18434,3.69412,0.01395,-0.2245,1.23201,-2.8061,-0.11892,0.1071,1.65771,-0.92938,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2011,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.19394,3.63551,0.00923,-0.21679,1.28974,-2.75501,-0.1111,0.10318,1.68194,-1.05345,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2012,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.19926,3.5814,0.00759,-0.20943,1.31421,-2.81036,-0.10986,0.10148,1.69122,-1.09997,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2013,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.20478,3.72138,0.00817,-0.22624,1.25689,-2.8138,-0.10233,0.09004,1.6837,-0.97497,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2014,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.0817,3.50667,-1e-05,-0.21895,1.33346,-2.71662,-0.09533,0.08984,1.49335,-1.11276,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2015,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.20201,3.64648,-0.01674,-0.1991,1.13522,-2.84407,-0.11429,0.09764,1.68934,-0.72991,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2016,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.08605,3.54526,0.01385,-0.21389,1.2528,-2.75269,-0.10874,0.10627,1.49458,-0.96761,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2017,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.12951,3.60769,0.00893,-0.22601,1.33938,-2.87561,-0.10065,0.09396,1.5606,-1.14919,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2018,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.07053,3.61337,-0.00109,-0.2117,1.26692,-2.9517,-0.11535,0.10388,1.46772,-1.01175,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2019,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.10254,3.59056,-0.00046,-0.20323,1.23296,-2.79546,-0.11717,0.10877,1.53316,-0.93485,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2020,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.13563,3.63905,0.00283,-0.2141,1.29835,-2.8193,-0.10198,0.09321,1.57913,-1.07621,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2021,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.09741,3.52915,-0.01311,-0.20105,1.30376,-2.73698,-0.10884,0.10484,1.50257,-1.06744,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2022,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.15296,3.71383,-0.0032,-0.20461,1.21043,-2.62731,-0.12314,0.11094,1.60609,-0.89613,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2023,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.07342,3.51231,0.02056,-0.22043,1.27779,-2.78816,-0.11351,0.11383,1.47282,-1.01033,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2024,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.17098,3.48489,-0.01175,-0.21193,1.37327,-2.75021,-0.12948,0.10023,1.6513,-1.23606,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,2025,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.12434,3.50845,-0.0055,-0.19616,1.40795,-2.74061,-0.11605,0.10586,1.55871,-1.28506,,
mspi1_lam05_linear+sat&age2&xsat,mspi1_lam05,3,-1,linear+sat&age2&xsat,linear+sat&age2&xsat,1.589,1.81189,-0.13194,3.57548,0.00429,-0.21395,1.27294,-2.80074,-0.111,0.10299,1.57149,-1.01596,,
mspi1_lam05_linear+sat&age2&xsat300,mspi1_lam05,3,1998,linear+sat&age2&xsat300,linear+sat&age2&xsat300,1.589,1.81189,-0.31655,3.40813,0.00074,-0.24186,1.41505,-2.80755,-0.11826,0.09791,1.76745,-1.20306,,
mspi1_lam05_linear+sat&age2&xsat300,mspi1_lam05,3,1999,linear+sat&age2&xsat300,linear+sat&age2&xsat300,1.589,1.81189,-0.53805,3.45264,0.01134,-0.22503,1.52559,-2.84294,-0.10788,0.09861,2.13315,-1.41435,,
