system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,o2,o3,o4,o5,o6,d0,d1,d2,d3,d4,d5,d6
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,1998,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.37079,2.51173,-0.49753,-0.01165,-0.18365,0.29294,-0.26621,0.81915,-2.75729,0.64924,-0.19575,0.19845,-0.11255,0.86
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,1999,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.33025,2.47762,-0.49019,0.00179,-0.16895,0.31977,-0.2582,0.82709,-2.72867,0.63572,-0.17845,0.19726,-0.11987,0.84369
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2000,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.33849,2.53503,-0.50842,-0.00795,-0.15962,0.31607,-0.25727,0.86112,-2.70448,0.62945,-0.17521,0.20526,-0.14402,0.8091
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2001,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.33536,2.47098,-0.49359,0.0075,-0.19255,0.31205,-0.2197,0.85029,-2.73599,0.64181,-0.18027,0.20358,-0.14368,0.92534
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2002,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.37724,2.4023,-0.47403,0.01721,-0.17118,0.28382,-0.24291,0.85979,-2.66866,0.61816,-0.17989,0.21328,-0.14224,0.83269
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2003,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.32545,2.40191,-0.47736,-0.00861,-0.16907,0.33038,-0.25425,0.83316,-2.81015,0.65259,-0.17721,0.19563,-0.12556,0.84722
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2004,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.32997,2.46938,-0.48427,0.00235,-0.16323,0.31098,-0.22794,0.8338,-2.7829,0.65056,-0.17403,0.20485,-0.13117,0.86328
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2005,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.38633,2.45784,-0.49305,0.01349,-0.16972,0.28538,-0.26157,0.88994,-2.67948,0.62937,-0.19166,0.21559,-0.17569,0.88409
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2006,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.34889,2.5289,-0.51003,0.01702,-0.17875,0.30735,-0.24492,0.85994,-2.74653,0.6394,-0.16931,0.19885,-0.1459,0.81228
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2007,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.34306,2.47267,-0.48603,-0.01261,-0.15712,0.31457,-0.25755,0.86536,-2.73833,0.64439,-0.19005,0.21765,-0.14696,0.82655
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2008,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.281,2.53912,-0.5052,0.01083,-0.16044,0.34332,-0.24171,0.84631,-2.74846,0.64287,-0.17376,0.20552,-0.1394,0.85885
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2009,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.32132,2.43582,-0.48301,0.00213,-0.17402,0.32228,-0.19902,0.87935,-2.76913,0.65106,-0.19384,0.19779,-0.1609,0.82267
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2010,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.32627,2.56534,-0.51104,0.01244,-0.1804,0.32046,-0.25473,0.83326,-2.79514,0.65856,-0.19497,0.21129,-0.12111,0.82986
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2011,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.28357,2.55926,-0.51027,0.00541,-0.17203,0.34936,-0.24428,0.85322,-2.74488,0.648,-0.186,0.2125,-0.14813,0.91242
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2012,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.30067,2.47997,-0.49161,0.00222,-0.16223,0.33885,-0.25065,0.86636,-2.75608,0.64482,-0.18204,0.20309,-0.15105,0.84186
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2013,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.30186,2.54916,-0.50592,0.00392,-0.18759,0.32831,-0.2196,0.8551,-2.78389,0.65344,-0.17538,0.19514,-0.13715,0.84563
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2014,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.38202,2.39538,-0.47025,-0.00589,-0.17339,0.28743,-0.24459,0.89787,-2.63914,0.61514,-0.16576,0.18562,-0.15987,0.79442
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2015,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.29137,2.5647,-0.51166,-0.02371,-0.15037,0.34481,-0.26059,0.80085,-2.7866,0.65404,-0.18876,0.19984,-0.09373,0.82578
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2016,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.34193,2.49043,-0.49764,0.01119,-0.17862,0.30832,-0.20898,0.83991,-2.72475,0.64117,-0.18246,0.20823,-0.12739,0.8522
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2017,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.3215,2.49632,-0.49189,0.00141,-0.17729,0.32282,-0.25099,0.87607,-2.75305,0.6375,-0.16878,0.19293,-0.15948,0.86836
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2018,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.33078,2.60719,-0.52476,-0.00432,-0.17147,0.31984,-0.23053,0.82699,-2.83793,0.65799,-0.18644,0.20685,-0.12553,0.87974
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2019,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.37881,2.45413,-0.48384,-0.00533,-0.15735,0.29138,-0.24492,0.82805,-2.75443,0.64708,-0.19361,0.21574,-0.12404,0.89823
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2020,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.33385,2.43767,-0.4704,-0.0054,-0.16338,0.31294,-0.24917,0.86429,-2.74675,0.63939,-0.17197,0.19014,-0.14508,0.78135
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2021,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.34097,2.48177,-0.4917,-0.01955,-0.15173,0.3101,-0.26079,0.86106,-2.6674,0.62384,-0.18115,0.20779,-0.14499,0.87437
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2022,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.31419,2.70693,-0.55006,-0.00375,-0.16337,0.33313,-0.25627,0.83162,-2.54023,0.59122,-0.18836,0.20622,-0.12546,0.83376
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2023,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.36756,2.42335,-0.4763,0.01369,-0.17244,0.29513,-0.25145,0.86281,-2.72343,0.63698,-0.18585,0.21104,-0.13895,0.81132
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2024,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.3255,2.30959,-0.44281,-0.02318,-0.15613,0.32362,-0.26564,0.88452,-2.6811,0.62605,-0.2003,0.19844,-0.17104,0.8448
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,2025,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.34401,2.37684,-0.46318,-0.01303,-0.14712,0.30739,-0.24712,0.90016,-2.67572,0.62349,-0.18525,0.20232,-0.17307,0.82165
mspi1_lam05_fast_linear+log2&age2&xlog&prior,mspi1_lam05_fast,3,-1,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.5814,1.80877,0.33479,2.48504,-0.4925,-0.00078,-0.16828,0.31541,-0.24545,0.85381,-2.7313,0.63864,-0.18269,0.20359,-0.14048,0.84643
