system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,o2,o3,o4,o5,o6,d0,d1,d2,d3,d4,d5,d6
mspi1_lam05_fast_dec03_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec03,3,1998,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.49286,1.7084,0.33073,2.67791,-0.55489,0.03545,-0.20516,0.3211,-0.23035,0.87625,-2.81662,0.67045,-0.20772,0.19931,-0.13159,0.77476
mspi1_lam05_fast_dec03_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec03,3,1999,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.49286,1.7084,0.27356,2.64317,-0.5458,0.04516,-0.19311,0.35524,-0.21163,0.88798,-2.78819,0.6566,-0.18675,0.19828,-0.1401,0.75437
mspi1_lam05_fast_dec03_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec03,3,2000,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.49286,1.7084,0.27961,2.70862,-0.5662,0.03521,-0.18292,0.35363,-0.21507,0.91116,-2.76059,0.64957,-0.18404,0.20473,-0.15404,0.7228
mspi1_lam05_fast_dec03_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec03,3,2001,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.49286,1.7084,0.27356,2.64198,-0.55054,0.05122,-0.21661,0.35124,-0.17715,0.90507,-2.79654,0.66305,-0.18728,0.20511,-0.15754,0.83261
mspi1_lam05_fast_dec03_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec03,3,2002,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.49286,1.7084,0.32313,2.57459,-0.53151,0.05965,-0.19294,0.32004,-0.2022,0.91276,-2.73605,0.64072,-0.18888,0.21455,-0.15456,0.73891
mspi1_lam05_fast_dec03_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec03,3,2003,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.49286,1.7084,0.27033,2.57147,-0.53374,0.03542,-0.19188,0.36506,-0.21346,0.88439,-2.87692,0.67511,-0.18477,0.19556,-0.13799,0.75677
mspi1_lam05_fast_dec03_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec03,3,2004,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.49286,1.7084,0.27444,2.64361,-0.54235,0.04592,-0.18577,0.3469,-0.19035,0.89016,-2.8401,0.67063,-0.18286,0.20508,-0.14784,0.77377
mspi1_lam05_fast_dec03_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec03,3,2005,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.49286,1.7084,0.33565,2.62162,-0.54903,0.05726,-0.19445,0.32028,-0.21914,0.94277,-2.73908,0.65001,-0.19883,0.21636,-0.18661,0.79525
mspi1_lam05_fast_dec03_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec03,3,2006,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.49286,1.7084,0.30064,2.68057,-0.5617,0.06117,-0.2014,0.33838,-0.2046,0.91923,-2.80235,0.6591,-0.17813,0.19954,-0.16359,0.72827
mspi1_lam05_fast_dec03_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec03,3,2007,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.49286,1.7084,0.28866,2.64816,-0.545,0.03168,-0.18022,0.35146,-0.21941,0.91424,-2.80291,0.6668,-0.19894,0.21886,-0.15863,0.746
