system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,o2,o3,o4,o5,d0,d1,d2,d3,d4,d5,o6,d6
mspi1_lam05_fast_dec05_linear+log2&age2&xlog,mspi1_lam05_fast_dec05,3,1998,linear+log2&age2&xlog,linear+log2&age2&xlog,1.51797,1.73523,0.26424,2.70593,-0.58432,0.03224,-0.2632,0.34124,0.98362,-2.72737,0.6266,-0.17485,0.14138,-0.13275,,
mspi1_lam05_fast_dec05_linear+log2&age2&xlog,mspi1_lam05_fast_dec05,3,1999,linear+log2&age2&xlog,linear+log2&age2&xlog,1.51797,1.73523,0.21985,2.67611,-0.57604,0.0421,-0.24667,0.3702,0.99306,-2.707,0.61548,-0.1562,0.14113,-0.14127,,
mspi1_lam05_fast_dec05_linear+log2&age2&xlog,mspi1_lam05_fast_dec05,3,2000,linear+log2&age2&xlog,linear+log2&age2&xlog,1.51797,1.73523,0.22572,2.73614,-0.59504,0.033,-0.23842,0.36791,1.0102,-2.69398,0.61297,-0.15592,0.15177,-0.15551,,
mspi1_lam05_fast_dec05_linear+log2&age2&xlog,mspi1_lam05_fast_dec05,3,2001,linear+log2&age2&xlog,linear+log2&age2&xlog,1.51797,1.73523,0.23486,2.64804,-0.57028,0.04573,-0.26165,0.35994,1.0235,-2.71358,0.62065,-0.15539,0.14408,-0.16146,,
mspi1_lam05_fast_dec05_linear+log2&age2&xlog,mspi1_lam05_fast_dec05,3,2002,linear+log2&age2&xlog,linear+log2&age2&xlog,1.51797,1.73523,0.27094,2.60211,-0.5592,0.05689,-0.2441,0.33412,1.01363,-2.63193,0.59308,-0.15852,0.15775,-0.15472,,
mspi1_lam05_fast_dec05_linear+log2&age2&xlog,mspi1_lam05_fast_dec05,3,2003,linear+log2&age2&xlog,linear+log2&age2&xlog,1.51797,1.73523,0.2166,2.59483,-0.56143,0.03201,-0.24501,0.3799,0.98666,-2.79425,0.63337,-0.15621,0.13776,-0.13635,,
mspi1_lam05_fast_dec05_linear+log2&age2&xlog,mspi1_lam05_fast_dec05,3,2004,linear+log2&age2&xlog,linear+log2&age2&xlog,1.51797,1.73523,0.22931,2.6623,-0.56649,0.04153,-0.2327,0.35828,0.99269,-2.75511,0.62815,-0.1506,0.14684,-0.14524,,
mspi1_lam05_fast_dec05_linear+log2&age2&xlog,mspi1_lam05_fast_dec05,3,2005,linear+log2&age2&xlog,linear+log2&age2&xlog,1.51797,1.73523,0.27532,2.65032,-0.57809,0.05554,-0.2491,0.33754,1.05057,-2.65168,0.6052,-0.16623,0.15359,-0.18722,,
mspi1_lam05_fast_dec05_linear+log2&age2&xlog,mspi1_lam05_fast_dec05,3,2006,linear+log2&age2&xlog,linear+log2&age2&xlog,1.51797,1.73523,0.24619,2.7121,-0.5903,0.05869,-0.25271,0.35373,1.01892,-2.72407,0.61901,-0.14606,0.142,-0.1642,,
mspi1_lam05_fast_dec05_linear+log2&age2&xlog,mspi1_lam05_fast_dec05,3,2007,linear+log2&age2&xlog,linear+log2&age2&xlog,1.51797,1.73523,0.23197,2.6713,-0.57272,0.03016,-0.23518,0.36627,1.0166,-2.72726,0.62723,-0.16906,0.16179,-0.15914,,
mspi1_lam05_fast_dec05_linear+log2&age2&xlog,mspi1_lam05_fast_dec05,3,2008,linear+log2&age2&xlog,linear+log2&age2&xlog,1.51797,1.73523,0.17001,2.72655,-0.58602,0.05157,-0.23237,0.39377,1.01563,-2.72748,0.62217,-0.14931,0.14645,-0.16055,,
mspi1_lam05_fast_dec05_linear+log2&age2&xlog,mspi1_lam05_fast_dec05,3,2009,linear+log2&age2&xlog,linear+log2&age2&xlog,1.51797,1.73523,0.22589,2.61545,-0.55847,0.04087,-0.23653,0.36856,1.0423,-2.74639,0.63164,-0.17364,0.14277,-0.18062,,
