system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,o2,o3,o4,o5,o6,d0,d1,d2,d3,d4,d5,d6,o7,d7
mspi1_lam05_fast_dec05x_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec05x,3,1998,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.51828,1.74025,0.32144,2.82173,-0.60643,0.04551,-0.20305,0.34207,-0.24117,0.88376,-2.93382,0.73954,-0.20564,0.21053,-0.15493,0.83144,,
mspi1_lam05_fast_dec05x_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec05x,3,1999,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.51828,1.74025,0.26664,2.77256,-0.59248,0.05367,-0.19163,0.37647,-0.21708,0.89358,-2.91086,0.72887,-0.18993,0.21171,-0.16349,0.81414,,
mspi1_lam05_fast_dec05x_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec05x,3,2000,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.51828,1.74025,0.27774,2.83304,-0.61357,0.04318,-0.1842,0.3704,-0.21339,0.9178,-2.87423,0.71743,-0.18616,0.21767,-0.18001,0.78545,,
mspi1_lam05_fast_dec05x_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec05x,3,2001,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.51828,1.74025,0.2727,2.76318,-0.59652,0.05911,-0.21582,0.36839,-0.17965,0.91065,-2.93352,0.73897,-0.18865,0.21814,-0.18194,0.8847,,
mspi1_lam05_fast_dec05x_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec05x,3,2002,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.51828,1.74025,0.31886,2.69773,-0.57749,0.06857,-0.19421,0.33696,-0.2037,0.92058,-2.84167,0.70629,-0.19129,0.22686,-0.18123,0.79633,,
mspi1_lam05_fast_dec05x_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec05x,3,2003,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.51828,1.74025,0.27008,2.70985,-0.58552,0.04375,-0.19307,0.3828,-0.21165,0.89593,-2.97612,0.74172,-0.18883,0.20946,-0.16595,0.81556,,
mspi1_lam05_fast_dec05x_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec05x,3,2004,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.51828,1.74025,0.26943,2.75764,-0.58421,0.0553,-0.1861,0.36545,-0.1906,0.89848,-2.96119,0.743,-0.18569,0.21905,-0.17406,0.83565,,
mspi1_lam05_fast_dec05x_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec05x,3,2005,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.51828,1.74025,0.32669,2.75184,-0.59847,0.06431,-0.19571,0.33947,-0.21478,0.94929,-2.87057,0.72481,-0.20037,0.23041,-0.21453,0.85698,,
mspi1_lam05_fast_dec05x_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec05x,3,2006,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.51828,1.74025,0.29398,2.83253,-0.62009,0.06995,-0.20448,0.35867,-0.19959,0.92526,-2.90442,0.72491,-0.18109,0.21272,-0.18927,0.78484,,
mspi1_lam05_fast_dec05x_linear+log2&age2&xlog&prior,mspi1_lam05_fast_dec05x,3,2007,linear+log2&age2&xlog&prior,linear+log2&age2&xlog&prior,1.51828,1.74025,0.28599,2.78376,-0.59544,0.04158,-0.1824,0.36876,-0.21595,0.92245,-2.90582,0.73311,-0.19907,0.22996,-0.18492,0.80173,,
