system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,d0,d1,o2,d2,o3,d3,o4,d4
ship_mix_linear+sat,ship_mix,3,1998,linear+sat,linear+sat,1.76706,1.49717,0.74236,3.12152,0.88816,-3.12945,,,,,,
ship_mix_linear+sat,ship_mix,3,1999,linear+sat,linear+sat,1.76706,1.49717,0.75061,3.03594,0.8849,-3.16383,,,,,,
ship_mix_linear+sat,ship_mix,3,2000,linear+sat,linear+sat,1.76706,1.49717,0.75073,3.03342,0.88143,-3.15204,,,,,,
ship_mix_linear+sat,ship_mix,3,2001,linear+sat,linear+sat,1.76706,1.49717,0.74557,3.06484,0.88823,-3.13288,,,,,,
ship_mix_linear+sat,ship_mix,3,2002,linear+sat,linear+sat,1.76706,1.49717,0.74946,3.02935,0.88938,-3.16114,,,,,,
ship_mix_linear+sat,ship_mix,3,2003,linear+sat,linear+sat,1.76706,1.49717,0.75774,2.91373,0.88596,-3.29751,,,,,,
ship_mix_linear+sat,ship_mix,3,2004,linear+sat,linear+sat,1.76706,1.49717,0.74437,3.14193,0.8767,-3.19574,,,,,,
ship_mix_linear+sat,ship_mix,3,2005,linear+sat,linear+sat,1.76706,1.49717,0.74828,3.03752,0.88167,-3.12871,,,,,,
ship_mix_linear+sat,ship_mix,3,2006,linear+sat,linear+sat,1.76706,1.49717,0.74689,3.08783,0.87808,-3.18106,,,,,,
ship_mix_linear+sat,ship_mix,3,2007,linear+sat,linear+sat,1.76706,1.49717,0.74838,3.09342,0.88597,-3.13595,,,,,,
ship_mix_linear+sat,ship_mix,3,2008,linear+sat,linear+sat,1.76706,1.49717,0.74248,3.06418,0.87983,-3.14907,,,,,,
ship_mix_linear+sat,ship_mix,3,2009,linear+sat,linear+sat,1.76706,1.49717,0.75346,3.03272,0.88221,-3.16542,,,,,,
ship_mix_linear+sat,ship_mix,3,2010,linear+sat,linear+sat,1.76706,1.49717,0.74515,3.15614,0.889,-3.15058,,,,,,
ship_mix_linear+sat,ship_mix,3,2011,linear+sat,linear+sat,1.76706,1.49717,0.75124,3.07888,0.88422,-3.11425,,,,,,
ship_mix_linear+sat,ship_mix,3,2012,linear+sat,linear+sat,1.76706,1.49717,0.7504,3.0257,0.88335,-3.17668,,,,,,
ship_mix_linear+sat,ship_mix,3,2013,linear+sat,linear+sat,1.76706,1.49717,0.74294,3.13367,0.88868,-3.14264,,,,,,
ship_mix_linear+sat,ship_mix,3,2014,linear+sat,linear+sat,1.76706,1.49717,0.75496,3.01925,0.89637,-3.04961,,,,,,
ship_mix_linear+sat,ship_mix,3,2015,linear+sat,linear+sat,1.76706,1.49717,0.74433,3.02866,0.89075,-3.15554,,,,,,
ship_mix_linear+sat,ship_mix,3,2016,linear+sat,linear+sat,1.76706,1.49717,0.75785,3.02693,0.88769,-3.08547,,,,,,
ship_mix_linear+sat,ship_mix,3,2017,linear+sat,linear+sat,1.76706,1.49717,0.74363,3.11461,0.8841,-3.24152,,,,,,
ship_mix_linear+sat,ship_mix,3,2018,linear+sat,linear+sat,1.76706,1.49717,0.75181,3.16107,0.88068,-3.33593,,,,,,
ship_mix_linear+sat,ship_mix,3,2019,linear+sat,linear+sat,1.76706,1.49717,0.75642,3.07221,0.88541,-3.13489,,,,,,
ship_mix_linear+sat,ship_mix,3,2020,linear+sat,linear+sat,1.76706,1.49717,0.74999,3.11475,0.87804,-3.16566,,,,,,
ship_mix_linear+sat,ship_mix,3,2021,linear+sat,linear+sat,1.76706,1.49717,0.73946,3.03104,0.89128,-3.07802,,,,,,
ship_mix_linear+sat,ship_mix,3,2022,linear+sat,linear+sat,1.76706,1.49717,0.75203,3.13746,0.88321,-2.9716,,,,,,
ship_mix_linear+sat,ship_mix,3,2023,linear+sat,linear+sat,1.76706,1.49717,0.75288,3.06738,0.88995,-3.13107,,,,,,
ship_mix_linear+sat,ship_mix,3,2024,linear+sat,linear+sat,1.76706,1.49717,0.75173,2.8957,0.88057,-3.14911,,,,,,
ship_mix_linear+sat,ship_mix,3,2025,linear+sat,linear+sat,1.76706,1.49717,0.74716,3.00056,0.88891,-3.14867,,,,,,
ship_mix_linear+sat,ship_mix,3,-1,linear+sat,linear+sat,1.76706,1.49717,0.749,3.06144,0.88517,-3.15073,,,,,,
ship_mix_linear+log2,ship_mix,3,1998,linear+log2,linear+log2,1.76706,1.49717,0.71795,1.43372,0.9035,-2.69191,-0.20055,0.5845,,,,
ship_mix_linear+log2,ship_mix,3,1999,linear+log2,linear+log2,1.76706,1.49717,0.72415,1.34047,0.89876,-2.6748,-0.17775,0.57653,,,,
ship_mix_linear+log2,ship_mix,3,2000,linear+log2,linear+log2,1.76706,1.49717,0.72873,1.42348,0.89519,-2.6645,-0.2046,0.57405,,,,
ship_mix_linear+log2,ship_mix,3,2001,linear+log2,linear+log2,1.76706,1.49717,0.71802,1.32709,0.90324,-2.69575,-0.17189,0.58493,,,,
ship_mix_linear+log2,ship_mix,3,2002,linear+log2,linear+log2,1.76706,1.49717,0.72417,1.36628,0.90078,-2.58754,-0.18588,0.55045,,,,
ship_mix_linear+log2,ship_mix,3,2003,linear+log2,linear+log2,1.76706,1.49717,0.73249,1.28638,0.90145,-2.80154,-0.17177,0.60598,,,,
ship_mix_linear+log2,ship_mix,3,2004,linear+log2,linear+log2,1.76706,1.49717,0.718,1.40829,0.89299,-2.72961,-0.19076,0.59208,,,,
ship_mix_linear+log2,ship_mix,3,2005,linear+log2,linear+log2,1.76706,1.49717,0.72386,1.38504,0.89612,-2.62983,-0.1912,0.56626,,,,
ship_mix_linear+log2,ship_mix,3,2006,linear+log2,linear+log2,1.76706,1.49717,0.72116,1.38934,0.89233,-2.69754,-0.18853,0.58255,,,,
ship_mix_linear+log2,ship_mix,3,2007,linear+log2,linear+log2,1.76706,1.49717,0.72196,1.35191,0.90124,-2.68204,-0.17844,0.58181,,,,
ship_mix_linear+log2,ship_mix,3,2008,linear+log2,linear+log2,1.76706,1.49717,0.71701,1.36839,0.89439,-2.7004,-0.18505,0.58558,,,,
ship_mix_linear+log2,ship_mix,3,2009,linear+log2,linear+log2,1.76706,1.49717,0.72457,1.31129,0.89744,-2.72263,-0.16773,0.59131,,,,
ship_mix_linear+log2,ship_mix,3,2010,linear+log2,linear+log2,1.76706,1.49717,0.7182,1.40051,0.90399,-2.71018,-0.18701,0.58868,,,,
ship_mix_linear+log2,ship_mix,3,2011,linear+log2,linear+log2,1.76706,1.49717,0.7242,1.35766,0.8986,-2.68155,-0.17943,0.58259,,,,
ship_mix_linear+log2,ship_mix,3,2012,linear+log2,linear+log2,1.76706,1.49717,0.72447,1.3408,0.89709,-2.71509,-0.17871,0.58751,,,,
ship_mix_linear+log2,ship_mix,3,2013,linear+log2,linear+log2,1.76706,1.49717,0.71466,1.37323,0.90463,-2.72867,-0.17981,0.59483,,,,
