system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,d0,d1,o2,d2,o3,d3,o4,d4
ship_rapm1_linear+sat,ship_rapm1,3,1998,linear+sat,linear+sat,1.34613,1.50567,0.83859,3.00315,0.89165,-3.13107,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,1999,linear+sat,linear+sat,1.34613,1.50567,0.84714,2.93133,0.88865,-3.16637,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2000,linear+sat,linear+sat,1.34613,1.50567,0.84692,2.92706,0.885,-3.15692,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2001,linear+sat,linear+sat,1.34613,1.50567,0.84375,2.9329,0.89184,-3.13383,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2002,linear+sat,linear+sat,1.34613,1.50567,0.84525,2.91153,0.89243,-3.16807,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2003,linear+sat,linear+sat,1.34613,1.50567,0.85768,2.77388,0.88967,-3.2983,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2004,linear+sat,linear+sat,1.34613,1.50567,0.83952,3.02495,0.88012,-3.19498,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2005,linear+sat,linear+sat,1.34613,1.50567,0.84636,2.89957,0.88523,-3.12978,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2006,linear+sat,linear+sat,1.34613,1.50567,0.84474,2.9606,0.88127,-3.18514,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2007,linear+sat,linear+sat,1.34613,1.50567,0.84618,2.98068,0.88949,-3.13984,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2008,linear+sat,linear+sat,1.34613,1.50567,0.83837,2.94603,0.88315,-3.15318,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2009,linear+sat,linear+sat,1.34613,1.50567,0.85596,2.87935,0.88555,-3.16694,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2010,linear+sat,linear+sat,1.34613,1.50567,0.84275,3.043,0.89235,-3.15498,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2011,linear+sat,linear+sat,1.34613,1.50567,0.84857,2.95531,0.88751,-3.11709,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2012,linear+sat,linear+sat,1.34613,1.50567,0.8502,2.88865,0.88709,-3.17877,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2013,linear+sat,linear+sat,1.34613,1.50567,0.83858,3.03011,0.89192,-3.14817,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2014,linear+sat,linear+sat,1.34613,1.50567,0.85086,2.91144,0.89997,-3.05102,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2015,linear+sat,linear+sat,1.34613,1.50567,0.83831,2.93084,0.89428,-3.16226,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2016,linear+sat,linear+sat,1.34613,1.50567,0.85293,2.93265,0.89124,-3.08792,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2017,linear+sat,linear+sat,1.34613,1.50567,0.84085,2.99453,0.88768,-3.2469,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2018,linear+sat,linear+sat,1.34613,1.50567,0.84806,3.0434,0.88428,-3.33741,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2019,linear+sat,linear+sat,1.34613,1.50567,0.85463,2.95213,0.88903,-3.13651,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2020,linear+sat,linear+sat,1.34613,1.50567,0.84751,2.98093,0.88182,-3.16714,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2021,linear+sat,linear+sat,1.34613,1.50567,0.83718,2.88718,0.89428,-3.0836,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2022,linear+sat,linear+sat,1.34613,1.50567,0.84353,3.04299,0.88706,-2.97315,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2023,linear+sat,linear+sat,1.34613,1.50567,0.85075,2.94728,0.8931,-3.13486,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2024,linear+sat,linear+sat,1.34613,1.50567,0.84951,2.78235,0.88415,-3.15424,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,2025,linear+sat,linear+sat,1.34613,1.50567,0.84522,2.87575,0.8926,-3.1496,,,,,,
ship_rapm1_linear+sat,ship_rapm1,3,-1,linear+sat,linear+sat,1.34613,1.50567,0.84606,2.94178,0.88865,-3.15374,,,,,,
ship_rapm1_linear+log2,ship_rapm1,3,1998,linear+log2,linear+log2,1.34613,1.50567,0.82624,1.6125,0.90636,-2.6875,-0.26802,0.58282,,,,
ship_rapm1_linear+log2,ship_rapm1,3,1999,linear+log2,linear+log2,1.34613,1.50567,0.83299,1.54772,0.90186,-2.66909,-0.25306,0.57443,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2000,linear+log2,linear+log2,1.34613,1.50567,0.83832,1.61842,0.89807,-2.66048,-0.27666,0.57228,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2001,linear+log2,linear+log2,1.34613,1.50567,0.82793,1.51565,0.90611,-2.68906,-0.24317,0.58259,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2002,linear+log2,linear+log2,1.34613,1.50567,0.83183,1.55482,0.90321,-2.58529,-0.25639,0.54908,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2003,linear+log2,linear+log2,1.34613,1.50567,0.8459,1.47437,0.90437,-2.79448,-0.24396,0.60348,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2004,linear+log2,linear+log2,1.34613,1.50567,0.82458,1.59532,0.89587,-2.72685,-0.26055,0.5911,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2005,linear+log2,linear+log2,1.34613,1.50567,0.83559,1.57987,0.89894,-2.62202,-0.26576,0.56362,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2006,linear+log2,linear+log2,1.34613,1.50567,0.83147,1.58168,0.89483,-2.6937,-0.26114,0.58089,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2007,linear+log2,linear+log2,1.34613,1.50567,0.83177,1.54482,0.90401,-2.67748,-0.25001,0.57994,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2008,linear+log2,linear+log2,1.34613,1.50567,0.82472,1.55843,0.89699,-2.69528,-0.25581,0.58349,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2009,linear+log2,linear+log2,1.34613,1.50567,0.83917,1.49337,0.90001,-2.71534,-0.23895,0.58871,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2010,linear+log2,linear+log2,1.34613,1.50567,0.82719,1.59363,0.90667,-2.70663,-0.25848,0.58707,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2011,linear+log2,linear+log2,1.34613,1.50567,0.83278,1.53967,0.90116,-2.67472,-0.24811,0.58007,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2012,linear+log2,linear+log2,1.34613,1.50567,0.83635,1.51942,0.90023,-2.7111,-0.2477,0.58598,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2013,linear+log2,linear+log2,1.34613,1.50567,0.8212,1.56095,0.90723,-2.72704,-0.24882,0.59374,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2014,linear+log2,linear+log2,1.34613,1.50567,0.83525,1.52283,0.91383,-2.60739,-0.24612,0.56441,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2015,linear+log2,linear+log2,1.34613,1.50567,0.82938,1.60036,0.90865,-2.7219,-0.27151,0.5909,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2016,linear+log2,linear+log2,1.34613,1.50567,0.84138,1.59052,0.90506,-2.65731,-0.26645,0.57773,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2017,linear+log2,linear+log2,1.34613,1.50567,0.8257,1.56546,0.9006,-2.72827,-0.25401,0.58578,,,,
ship_rapm1_linear+log2,ship_rapm1,3,2018,linear+log2,linear+log2,1.34613,1.50567,0.83958,1.67143,0.89721,-2.78678,-0.28522,0.59745,,,,
