set,folds,mse,slope,sd_pred,n_feat
base,off,0.8334520131113737,1.0530573755871058,0.820892611352841,11
base,row,0.8311711475532669,1.0301561353239996,0.8396770159878237,11
base,player,0.9127365930742103,1.012613786132846,0.8059946175374819,11
hw,off,0.7752564070288647,1.0340851709448167,0.8673443564099904,13
hw,row,0.7749396203431231,1.0294363097871995,0.8713103729316078,13
hw,player,0.8722731779329279,1.0005287263852862,0.8400908002026208,13
hwb,off,0.8078306451280324,1.055845886689334,0.8327761103375988,13
hwb,row,0.8044516609592302,1.04145104544222,0.8455913099289193,13
hwb,player,0.8971435169376365,1.0263764491716292,0.8046751015232471,13
pid,off,0.8074672859015962,1.0545297193281045,0.8340020717692274,12
pid,row,0.8111909607165155,1.0446681410510235,0.8394142072655844,12
pid,player,0.9126293434102645,1.0165322890003798,0.8029963533046353,12
