window,window_mid,player_id,player_name,poss_off,poss_def,shrinkage,prior_off,prior_def,prior_total,boost_off,boost_def,boost_total,u_off,u_def,u_total,u_plain_off,u_plain_def,u_plain_total,rapm_mm_off,rapm_mm_def,rapm_mm_total,rating_off,rating_def,rating_total,rating_off_raw,rating_def_raw
1997-1999,1998.0,297,Alonzo Mourning,10911.0,10819.0,0.4879,0.5016,1.5546,2.0561,0.606,0.4607,1.0667,1.3598,2.8754,4.2351,1.8786,3.4238,5.3024,2.3802,4.9784,7.3586,1.3474,4.1854,5.5328,1.8613,4.4299
1997-1999,1998.0,406,Shaquille O'Neal,11126.0,11093.0,0.4928,2.2906,1.3107,3.6014,-0.0227,0.3623,0.3397,1.6953,1.2589,2.9542,3.2559,1.7214,4.9773,5.5465,3.0322,8.5787,2.9842,2.4432,5.4274,3.986,2.5696
1997-1999,1998.0,304,John Stockton,11392.0,11397.0,0.4987,3.8163,0.945,4.7613,-0.1414,-0.041,-0.1824,1.2355,0.6804,1.9158,2.7385,1.3637,4.1022,6.5548,2.3087,8.8635,3.7432,1.5558,5.299,5.0518,1.6254
1997-1999,1998.0,1495,Tim Duncan,9580.0,9520.0,0.4555,2.6347,1.3027,3.9374,0.1777,1.1976,1.3753,0.5283,2.2747,2.803,1.3503,2.8371,4.1874,3.985,4.1398,8.1248,1.7254,3.5183,5.2437,3.163,3.5774
1997-1999,1998.0,893,Michael Jordan,11774.0,11772.0,0.5069,4.2631,0.3528,4.6159,0.3985,0.5691,0.9676,1.6508,0.8296,2.4804,2.9509,1.2739,4.2248,7.214,1.6267,8.8407,4.0696,1.1299,5.1995,5.9138,1.1825
1997-1999,1998.0,764,David Robinson,7672.0,7625.0,0.4012,1.1719,2.1335,3.3054,-0.5836,1.1707,0.5871,0.1401,1.4619,1.602,0.8389,2.175,3.0139,2.0109,4.3085,6.3193,0.9319,3.7085,4.6404,1.3121,3.5953
1997-1999,1998.0,255,Grant Hill,14979.0,15008.0,0.5667,3.7383,0.3176,4.0559,1.4999,0.2387,1.7386,0.6077,0.8193,1.427,1.8991,0.9203,2.8194,5.6373,1.238,6.8753,3.1643,0.9191,4.0834,4.346,1.1369
1997-1999,1998.0,739,Rasheed Wallace,11747.0,11736.0,0.5063,0.4508,0.5313,0.9822,0.251,0.0902,0.3412,0.7481,2.7719,3.52,1.1205,3.0087,4.1291,1.5713,3.54,5.1113,0.8629,3.066,3.9289,1.1989,3.3033
1997-1999,1998.0,717,Arvydas Sabonis,10240.0,10186.0,0.4721,0.6019,2.0046,2.6065,-0.0664,0.1591,0.0927,0.7265,0.9555,1.682,1.2974,1.4887,2.7861,1.8993,3.4933,5.3927,0.9926,2.8759,3.8685,1.3284,2.9602
1997-1999,1998.0,708,Kevin Garnett,15329.0,15318.0,0.5724,2.485,1.2339,3.7189,0.0963,0.4905,0.5869,0.0834,1.1716,1.2551,1.2185,1.5034,2.722,3.7036,2.7373,6.4409,1.8126,1.9843,3.7969,2.5685,2.4056
1997-1999,1998.0,252,Karl Malone,14819.0,14814.0,0.5641,3.2516,0.4182,3.6697,0.3097,-0.7289,-0.4192,1.3518,0.0441,1.396,3.2371,0.2563,3.4934,6.4887,0.6745,7.1632,3.4219,0.3463,3.7682,4.6034,0.4623
1997-1999,1998.0,166,Ron Harper,9431.0,9429.0,0.4516,0.3823,1.4805,1.8628,-0.1715,0.5913,0.4198,0.8553,1.3746,2.2299,0.9676,2.2426,3.2102,1.3499,3.7231,5.0731,0.9167,2.8397,3.7564,1.2376,2.8551
1997-1999,1998.0,121,Patrick Ewing,9544.0,9538.0,0.4546,-0.102,2.2752,2.1732,-0.0226,0.7163,0.6936,0.1604,1.445,1.6054,0.1774,2.1137,2.2911,0.0754,4.3889,4.4643,0.0599,3.6582,3.7182,0.0584,3.7202
1997-1999,1998.0,204,Jeff Hornacek,12380.0,12384.0,0.5195,3.0734,0.1087,3.1821,0.1279,0.0953,0.2232,1.5366,0.1209,1.6575,3.1095,0.443,3.5525,6.183,0.5517,6.7346,3.433,0.2405,3.6736,4.61,0.2296
1997-1999,1998.0,467,Jason Kidd,13761.0,13747.0,0.5458,2.8984,0.5281,3.4265,-0.0436,-0.0698,-0.1134,0.7395,0.5714,1.3109,1.8331,0.819,2.6521,4.7315,1.3471,6.0786,2.7007,0.9527,3.6535,3.638,1.0995
1997-1999,1998.0,56,Gary Payton,15784.0,15772.0,0.5795,2.8641,0.2446,3.1087,-0.1614,-0.192,-0.3533,1.1319,0.6803,1.8121,2.4788,1.0415,3.5202,5.3429,1.286,6.6289,2.9279,0.6944,3.6222,3.996,0.9248
1997-1999,1998.0,302,Mookie Blaylock,13729.0,13680.0,0.5452,1.8131,0.5186,2.3317,0.7047,0.1202,0.8249,1.3113,1.05,2.3613,1.6915,1.5127,3.2042,3.5046,2.0313,5.5358,2.2544,1.3667,3.6211,3.1243,1.5686
1997-1999,1998.0,937,Scottie Pippen,12732.0,12731.0,0.5265,1.9637,0.8872,2.8509,0.3784,0.3671,0.7454,1.5279,0.159,1.6869,2.6736,0.7039,3.3776,4.6373,1.5911,6.2284,2.5801,0.9588,3.5389,3.4916,1.0462
1997-1999,1998.0,224,Eddie Jones,15002.0,14994.0,0.5671,1.8461,0.8104,2.6565,-0.1118,0.2674,0.1556,1.0602,0.8731,1.9333,2.031,1.4944,3.5254,3.8771,2.3049,6.1819,2.1125,1.3877,3.5002,2.9063,1.6836
1997-1999,1998.0,165,Hakeem Olajuwon,11870.0,11839.0,0.509,1.0039,2.2921,3.296,-1.0733,0.2217,-0.8517,-0.8163,1.2602,0.4439,0.0838,2.0301,2.114,1.0878,4.3222,5.4099,0.0809,3.2817,3.3626,0.1876,3.5522
1997-1999,1998.0,124,Vlade Divac,12102.0,12149.0,0.5138,-0.0927,1.4971,1.4044,0.278,0.442,0.72,0.867,1.4905,2.3575,1.6591,1.7118,3.371,1.5664,3.209,4.7754,0.5176,2.7486,3.2662,0.7743,2.9876
