block,fit,mult,poss,mse_rs,mse_po,diff,mse_rs_s,mse_po_s,diff_s,cr_rs,cr_po,diff_cr
2000-2002,A,2.0,17016.0,106.24327734351421,105.01816911791572,-1.2251082255984898,104.35785387949618,102.98279652647769,-1.3750573530184909,65.4096500719711,64.60098637229157,-0.8086636996795278
2000-2002,B,2.0,22273.0,110.16200413405595,109.40234006428217,-0.7596640697737769,111.02702249613655,110.08215989937227,-0.9448625967642812,51.63192457981768,50.96418808699582,-0.6677364928218594
2006-2008,A,2.0,21184.0,110.00257387757158,109.48118700008048,-0.5213868774910964,112.21913866768627,112.09316367418838,-0.12597499349789132,60.975727010395076,60.61318345684231,-0.36254355355276857
2006-2008,B,2.0,24700.0,121.81488200250442,121.32366499796608,-0.49121700453834194,121.08274035808915,120.72715043421431,-0.3555899238748452,44.88508111573401,44.7642953918139,-0.12078572392010756
2012-2014,A,2.0,21493.0,104.74658478968936,105.5298752544579,0.783290464768541,104.60379124198765,105.15941641283266,0.5556251708450048,60.52919191721048,61.00909275622962,0.4799008390191375
2012-2014,B,2.0,25505.0,108.12522682982336,107.82921854332554,-0.2960082864978233,104.71369598626909,105.21282938339178,0.4991333971226908,53.026601297943216,52.02908777545508,-0.9975135224881342
2018-2020,A,2.0,21315.0,114.85782530607655,113.4583611583464,-1.3994641477301428,114.0337618103355,112.58295868941384,-1.4508031209216625,73.34772509877075,71.92132116797802,-1.4264039307927305
2018-2020,B,2.0,26884.0,111.69982624106217,111.60595514992276,-0.0938710911394054,112.83457688430941,113.14122572606105,0.3066488417516382,62.856138877407375,62.324532710866606,-0.5316061665407688
2024-2026,A,2.0,21472.0,169.55117685337675,168.11307392279957,-1.4381029305771733,168.44673436565935,167.3243943691032,-1.1223399965561498,89.72709498283166,88.38268841455101,-1.3444065682806468
2024-2026,B,2.0,26323.0,118.23484750946153,118.61862946449058,0.38378195502905044,118.08262738266718,118.34455806899679,0.26193068632960603,63.04894884869009,63.75229617742389,0.7033473287337983
