season,train,player_id,player_name,poss_off,poss_def,poss_season,shrinkage,prior_off,prior_def,prior_total,u_off,u_def,u_total,rating_off_raw,rating_def_raw,rating_total_raw,rating_off,rating_def,rating_total
1997,1997,297,Alonzo Mourning,4287.0,4257.0,8544.0,0.1894,-0.2585,2.1619,1.9034,1.2404,2.4728,3.7133,0.9819,4.6348,5.6167,0.7242,4.7124,5.4366
1997,1997,893,Michael Jordan,5865.0,5870.0,11735.0,0.2422,4.2164,0.1324,4.3489,1.6473,0.7848,2.432,5.8637,0.9172,6.7809,4.0441,0.9129,4.957
1997,1997,304,John Stockton,5364.0,5365.0,10729.0,0.2262,3.5107,0.318,3.8287,1.4783,0.8574,2.3358,4.989,1.1754,6.1645,3.4575,1.2084,4.6659
1997,1997,255,Grant Hill,5525.0,5542.0,11067.0,0.2314,4.0739,0.6667,4.7406,0.1707,1.0438,1.2145,4.2446,1.7105,5.9551,2.8208,1.7117,4.5325
1997,1997,121,Patrick Ewing,5509.0,5488.0,10997.0,0.2309,-0.0513,2.6732,2.6219,0.5751,1.3765,1.9516,0.5238,4.0496,4.5734,0.3583,3.9773,4.3356
1997,1997,731,Greg Ostertag,3387.0,3359.0,6746.0,0.1558,-2.2929,2.0076,-0.2852,1.621,2.3676,3.9886,-0.6719,4.3753,3.7034,-0.3692,4.5362,4.167
1997,1997,56,Gary Payton,6122.0,6109.0,12231.0,0.2501,3.1415,0.1374,3.279,0.6598,1.4942,2.154,3.8014,1.6316,5.433,2.5842,1.5716,4.1558
1997,1997,937,Scottie Pippen,5873.0,5877.0,11750.0,0.2424,2.8833,0.5908,3.4741,1.7114,0.3599,2.0714,4.5948,0.9508,5.5455,3.1695,0.9444,4.1139
1997,1997,708,Kevin Garnett,5664.0,5648.0,11312.0,0.2358,2.1627,0.9162,3.0789,-0.3584,2.041,1.6826,1.8042,2.9572,4.7615,1.1937,2.9007,4.0944
1997,1997,406,Shaquille O'Neal,3693.0,3676.0,7369.0,0.1675,1.6434,1.924,3.5674,0.5272,0.4425,0.9697,2.1706,2.3665,4.5371,1.5298,2.4937,4.0235
