side,input,coef_std,coef_raw,window,n
O,poss_pct,0.7647189695934279,4.242512985975235,1997-1997,11279
O,poss_pct2,0.6628523826012541,3.9390942780552884,1997-1997,11279
O,gs_pct,-1.6076801481517442,-4.138584426287703,1997-1997,11279
O,gs_pct2,1.6713254380260267,3.8754741550569864,1997-1997,11279
O,age,10.748938967260164,2.5585404122978317,1997-1997,11279
O,age2,-19.146321075519754,-0.08071153097922061,1997-1997,11279
O,age3,8.55085083024923,0.0008285102561629727,1997-1997,11279
D,poss_pct,-0.6216586255379155,-3.446659255612493,1997-1997,11289
D,poss_pct2,1.3010675945754981,7.730591238244973,1997-1997,11289
D,gs_pct,-0.372133741990105,-0.9576059975272344,1997-1997,11289
D,gs_pct2,-0.48061968422841617,-1.1142987862881222,1997-1997,11289
D,age,-8.435169105631568,-2.007529751662051,1997-1997,11289
D,age2,15.523239932396502,0.06542790063800479,1997-1997,11289
D,age3,-7.313080485722386,-0.0007084493478053495,1997-1997,11289
O,poss_pct,0.8211701498289394,4.53897155178162,1998-1998,11279
O,poss_pct2,0.606166481522937,3.5838806690443312,1998-1998,11279
O,gs_pct,-1.5897445021797119,-4.091701561386802,1998-1998,11279
O,gs_pct2,1.6507395877089976,3.8277616450636147,1998-1998,11279
O,age,11.00793202498106,2.624173105341879,1998-1998,11279
O,age2,-19.61172357404254,-0.08282016409119759,1998-1998,11279
O,age3,8.751349064421374,0.0008496436693243109,1998-1998,11279
D,poss_pct,-0.6065449577819727,-3.350548809340816,1998-1998,11289
D,poss_pct2,1.2823943468585968,7.580822017322746,1998-1998,11289
D,gs_pct,-0.39650094265581237,-1.0201368999414306,1998-1998,11289
D,gs_pct2,-0.4584612953544796,-1.0629309417204296,1998-1998,11289
D,age,-8.481545298080889,-2.0216504101966106,1998-1998,11289
D,age2,15.556779768662375,0.06568620534405556,1998-1998,11289
D,age3,-7.311756083793314,-0.0007097547768039358,1998-1998,11289
O,poss_pct,0.8555817216316212,4.723745017226553,1999-1999,11306
O,poss_pct2,0.5681931137116133,3.354441743564743,1999-1999,11306
