component,side,n_tg,att,p,within,tau2,tau2_plain,tau2_half,tau2_mom,bias_exact,n_half,k_loo,k_plain,k_half,k_mom,k_source,k,at_floor,shrink_mean
fg3,off,2378,39885.0,0.3600601729973674,0.2165612424056458,0.0003334479932344764,0.0003005793151765112,0.0002628019853759721,0.0002796055376312146,-0.00016370164258173287,29,649.4603260465949,720.4795256069871,824.0472083794459,774.524153707138,mom,774.524153707138,False,0.023319789585299525
rim,off,2378,69082.0,0.5521698850641267,0.23349490425483418,0.0014605645846790993,0.0014444731051392657,0.0013974349971207797,0.0014330115366589639,-0.00016406274425746984,29,159.86619606152874,161.64711092514406,167.0882042713385,162.94000312043727,mom,162.94000312043727,False,0.16236612078344997
mid,off,2378,79318.0,0.4178244534657959,0.23092391396068596,0.0007254185255010435,0.0007088203197087853,0.0006821752907874637,0.0006992923762753032,-0.00011727983886362582,29,318.33197780713937,325.78625011139593,338.5111086244721,330.2251272789136,mom,330.2251272789136,False,0.09722433490561626
fg2,off,2378,148400.0,0.48036388140161723,0.24524666566843886,0.00031256362632125964,0.0002962276137557788,0.0002742951621082632,0.0002924045494915885,-4.966916067350529e-05,29,784.6295762398439,827.8994066725644,894.0976712219262,838.723836872086,mom,838.723836872086,False,0.07047559965173625
ft,off,2378,58469.0,0.7362533992372026,0.18461462208005075,0.0003775745435560821,0.00037323039520942937,0.00027214603332188086,0.0003710361764224422,-0.00011192595754617353,29,488.94880555587423,494.6398376168121,678.3660221925693,497.5650187540158,mom,497.5650187540158,False,0.051436117049221436
tov,off,2378,218415.0,0.17002495249868368,0.1393170604209783,8.570996517705078e-05,8.247621715192371e-05,7.382644563465726e-05,8.374727411510198e-05,-2.1004235016973118e-05,29,1625.4476376602363,1689.1785927130002,1887.0888232979887,1663.5414333546116,mom,1663.5414333546116,False,0.052556073069637325
oreb,off,2378,108504.0,0.32531519575315193,0.21366418197889595,0.0003388711660866249,0.00033459099447727164,0.00026004224336775795,0.0003351453714061177,-6.747011679784406e-05,29,630.5174454538202,638.5831821705228,821.6518178422532,637.5268770159591,mom,637.5268770159591,False,0.06822834931639
rim_share,off,2378,188285.0,0.3669012401412752,0.22140179921662506,0.002329973386877285,0.0023265061029913233,0.0022291308927613767,0.002308556164028363,-0.00010527759828298507,29,95.0233167741696,95.16493377427894,99.3220272239642,95.90487884439656,mom,95.90487884439656,False,0.45369577230999397
mid_share,off,2378,188285.0,0.4212656345433784,0.23205665908083087,0.002895800402777339,0.0028931074145418464,0.0026244504332736504,0.002857514974082932,-0.00010886561363418833,29,80.13558491747816,80.21017744257499,88.42104851314386,81.20925390961608,mom,81.20925390961608,False,0.49503395671911976
thr_share,off,2378,188285.0,0.21183312531534643,0.16237102563623512,0.0015482282090449313,0.0015482600468563765,0.001382829243967455,0.0015315604610858422,-3.715698847464122e-05,29,104.87538250991972,104.87322589374897,117.41943290870736,106.01672592221249,mom,106.01672592221249,False,0.42905077678298953
ftr,off,2378,214755.0,0.27225908593513537,0.19097391676501155,0.0003424248187762307,0.0003389191294523135,0.0003125830398191243,0.00038212075188921794,-8.341077542541729e-05,29,557.7104996288543,563.4793086882454,610.9541863676235,499.7737385913485,mom,499.7737385913485,False,0.15394744318972045
fg3,def,2378,39885.0,0.3600601729973674,0.2165612424056458,6.242184884903625e-05,3.16302369030568e-05,7.976232849604695e-05,3.120459881976756e-05,-0.00016883771300112038,29,3469.317977578445,6846.652558100726,2715.081749605375,6940.042512850962,mom,6940.042512850962,False,0.0026623538879538195
rim,def,2378,69082.0,0.5521698850641267,0.23349490425483418,0.0009237161930435218,0.0009114476883798471,0.0009714896724164389,0.0009350320439449371,-0.000176892068647046,29,252.7777536144512,256.18025832056844,240.34728405712195,249.71861206992432,mom,249.71861206992432,False,0.1127800605213116
mid,def,2378,79318.0,0.4178244534657959,0.23092391396068596,0.0007067359192259276,0.000689982798974327,0.0007076161770301931,0.0006828488470326229,-0.00011971806094757307,29,326.7471026711248,334.6806823357899,326.34063699596953,338.1772041707111,mom,338.1772041707111,False,0.09516545543333683
fg2,def,2378,148400.0,0.48036388140161723,0.24524666566843886,0.00035687266521552307,0.00034051304694372215,0.00036200208123656093,0.0003355434566894078,-4.917563312448541e-05,29,687.2105643628636,720.2269277775183,677.4730820074352,730.8938999679222,mom,730.8938999679222,False,0.08002695844058254
ft,def,2378,58469.0,0.7362533992372026,0.18461462208005075,-1.9356316935312486e-05,-2.2115072211015495e-05,5.9266323477498095e-06,9.511860028367641e-07,-0.00011756045040410474,29,1000000.0,1000000.0,31150.004125048214,194088.87591855472,mom,194088.87591855472,False,0.0001396093773931429
tov,def,2378,218415.0,0.17002495249868368,0.1393170604209783,0.00012508768816013515,0.00012171266252284422,0.00010967177546300707,0.00012207913276656877,-2.0541740170311244e-05,29,1113.7551782284677,1144.639000850301,1270.3091550475606,1141.2029006412643,mom,1141.2029006412643,False,0.07480431569755427
oreb,def,2378,108504.0,0.32531519575315193,0.21366418197889595,0.00023946206356621362,0.00023874062265763306,0.00023879102391467587,0.0002429075352290988,-6.891702537752169e-05,29,892.2673545733297,894.9636622390062,894.7747636244561,879.6111729402634,mom,879.6111729402634,False,0.05041773146106057
rim_share,def,2378,188285.0,0.3669012401412752,0.22140179921662506,0.0019075841277661082,0.001907810520172231,0.0019259729735634275,0.0019076364919547323,-0.00011161776746951551,29,116.06397641602283,116.05020355828503,114.95581830880437,116.06079048621957,mom,116.06079048621957,False,0.4070903348116739
mid_share,def,2378,188285.0,0.4212656345433784,0.23205665908083087,0.0017129700758106972,0.0017103904344850122,0.0016776376610672865,0.0017236867881647514,-0.00012407393297151237,29,135.47035196806075,135.67467076644502,138.32346785372005,134.628089438399,mom,134.628089438399,False,0.3719098822301299
thr_share,def,2378,188285.0,0.21183312531534643,0.16237102563623512,0.00029500809820068346,0.00029214305192338575,0.0002814130470997623,0.0003106069466551106,-5.224567685263315e-05,29,550.3951472063656,555.7928712226118,576.9847109422535,522.7540059383393,mom,522.7540059383393,False,0.13261130938228533
ftr,def,2378,214755.0,0.27225908593513537,0.19097391676501155,0.0006825193027864528,0.0006784158150899255,0.0006487294672868643,0.0007071717994591362,-7.909465689447864e-05,29,279.80734901612533,281.49980073754256,294.38144310556504,270.05307184346645,mom,270.05307184346645,False,0.2517628390170635
fg3,off,2377,30174.0,0.34546298137469345,0.20843653059541814,0.00045765326363276447,0.0004109323425849081,0.00043296109548291215,0.0003774030139530936,-0.00021335140285861842,29,455.4463983079431,507.2283414935887,481.42092388909475,552.291642857214,mom,552.291642857214,False,0.026184485702117857
