window,window_mid,player_id,player_name,poss_off,poss_def,shrinkage,prior_off,prior_def,prior_total,boost_off,boost_def,boost_total,u_off,u_def,u_total,u_plain_off,u_plain_def,u_plain_total,rapm_mm_off,rapm_mm_def,rapm_mm_total,rating_off,rating_def,rating_total,rating_off_raw,rating_def_raw,key,player_name_con,team,adj_offense,adj_defense,adj_overall,z_ours_total,z_con_total,d_total,rk_ours_total,rk_con_total,dr_total,z_ours_off,z_con_off,d_off,rk_ours_off,rk_con_off,dr_off,z_ours_def,z_con_def,d_def,rk_ours_def,rk_con_def,dr_def,bigness,minutes,orb,blk,drb,ast,fg3m,archetype,mins_bucket
2024-2026,2025.0,1643007,Taelon Peter,1056.0,1057.0,0.084,-1.512,-0.534,-2.046,-0.699,-0.215,-0.914,-0.428,-0.242,-0.67,-0.643,-0.258,-0.901,-2.156,-0.792,-2.948,-2.371,-2.224,-4.595,-1.941,-0.776,taelon peter,Taelon Peter,Indiana Pacers,-2.7,-0.5,-3.2,-1.802,-1.15,-0.652,461.0,426.0,-35.0,-1.472,-1.16,-0.311,465.0,433.5,-31.5,-1.431,-0.488,-0.943,444.0,318.5,-125.5,-0.563,492.0,0.732,0.293,3.585,2.927,3.0,guard,<1000
2024-2026,2025.0,1630658,Colin Castleton,1061.0,1069.0,0.085,-2.017,-0.235,-2.252,0.264,0.252,0.516,-0.326,-0.328,-0.654,-0.578,-0.325,-0.903,-2.595,-0.56,-3.155,-2.376,-1.935,-4.311,-2.343,-0.563,colin castleton,Colin Castleton,Orlando Magic,-1.9,-0.3,-2.2,-1.673,-0.74,-0.933,455.0,370.0,-85.0,-1.475,-0.751,-0.724,466.0,379.5,-86.5,-1.228,-0.305,-0.923,426.0,280.0,-146.0,5.563,508.0,4.323,0.709,5.74,2.268,0.142,big,<1000
2024-2026,2025.0,1642854,Asa Newell,1063.0,1079.0,0.085,-1.141,-0.466,-1.608,0.169,0.247,0.415,0.04,-0.075,-0.036,-0.011,-0.134,-0.144,-1.152,-0.6,-1.752,-2.017,-1.905,-3.922,-1.102,-0.542,asa newell,Asa Newell,Atlanta Hawks,-0.7,-0.4,-1.1,-1.497,-0.288,-1.208,444.0,271.0,-173.0,-1.201,-0.138,-1.064,437.0,236.5,-200.5,-1.207,-0.397,-0.811,424.0,298.5,-125.5,3.586,502.0,3.155,1.076,3.729,1.865,2.08,big,<1000
2024-2026,2025.0,1642353,Cam Christie,1071.0,1072.0,0.086,-1.634,-0.712,-2.346,0.294,-0.169,0.124,-0.131,0.291,0.16,-0.338,0.244,-0.094,-1.972,-0.468,-2.44,-2.173,-1.737,-3.911,-1.765,-0.421,cam christie,Cam Christie,Los Angeles Clippers,-2.6,0.8,-1.7,-1.491,-0.535,-0.957,443.0,320.5,-122.5,-1.321,-1.109,-0.212,453.0,428.5,-24.5,-1.09,0.702,-1.792,416.0,106.0,-310.0,1.495,537.0,1.475,0.268,4.559,2.48,0.939,wing,<1000
2024-2026,2025.0,1643016,Bez Mbeng,1083.0,1093.0,0.086,-1.513,0.193,-1.319,0.664,-0.073,0.591,-0.308,-0.743,-1.051,-0.516,-0.635,-1.151,-2.028,-0.442,-2.47,-2.303,-1.899,-4.201,-1.821,-0.55,bez mbeng,Bez Mbeng,Utah Jazz,-2.5,-0.9,-3.3,-1.623,-1.191,-0.432,454.0,432.5,-21.5,-1.419,-1.058,-0.362,461.0,423.0,-38.0,-1.203,-0.854,-0.349,423.0,385.5,-37.5,0.095,493.0,1.314,0.365,2.848,4.527,0.438,wing,<1000
2024-2026,2025.0,1631466,Nate Williams,1083.0,1093.0,0.086,-1.606,-0.942,-2.548,0.513,-0.033,0.48,0.384,-0.633,-0.249,0.221,-0.771,-0.55,-1.385,-1.713,-3.098,-1.892,-3.264,-5.156,-1.222,-1.575,nate williams,Nate Williams,Golden State Warriors,-1.6,-1.4,-3.0,-2.056,-1.068,-0.988,472.0,413.5,-58.5,-1.106,-0.598,-0.508,423.0,341.5,-81.5,-2.159,-1.312,-0.846,474.0,441.0,-33.0,1.901,517.0,2.576,0.348,2.019,2.089,1.462,wing,<1000
2024-2026,2025.0,1630619,Moussa Cisse,1113.0,1116.0,0.089,-1.657,0.688,-0.969,-0.256,-1.204,-1.46,0.224,-0.048,0.175,0.097,-0.053,0.044,-1.56,0.635,-0.925,-2.122,-0.292,-2.414,-1.433,0.639,moussa cisse,Moussa Cisse,Dallas Mavericks,-1.6,0.0,-1.5,-0.813,-0.452,-0.36,368.0,299.0,-69.0,-1.281,-0.598,-0.684,449.0,341.5,-107.5,-0.079,-0.03,-0.048,246.0,223.5,-22.5,11.384,530.0,6.045,3.057,8.626,0.611,0.0,big,<1000
2024-2026,2025.0,1642878,Tyrese Proctor,1114.0,1116.0,0.089,-0.68,-0.819,-1.5,-0.701,0.298,-0.403,0.212,0.086,0.299,0.125,0.075,0.2,-0.555,-0.744,-1.299,-1.725,-2.115,-3.84,-0.468,-0.733,tyrese proctor,Tyrese Proctor,Cleveland Cavaliers,0.1,-0.1,0.0,-1.459,0.163,-1.623,439.0,185.0,-254.0,-0.979,0.271,-1.25,404.0,153.5,-250.5,-1.354,-0.122,-1.232,439.0,243.0,-196.0,-1.869,549.0,0.721,0.0,3.475,4.852,3.016,guard,<1000
2024-2026,2025.0,1642355,Bronny James,1119.0,1127.0,0.089,-1.261,-0.654,-1.915,-0.13,-0.009,-0.139,-0.375,-0.89,-1.265,-0.601,-0.894,-1.495,-1.862,-1.549,-3.41,-2.093,-3.188,-5.28,-1.635,-1.544,bronny james,Bronny James,Los Angeles Lakers,-3.1,-0.9,-4.0,-2.113,-1.479,-0.634,474.0,457.0,-17.0,-1.259,-1.365,0.106,447.0,452.5,5.5,-2.105,-0.854,-1.251,472.0,385.5,-86.5,-1.498,560.0,0.579,0.45,2.057,4.693,1.993,guard,<1000
2024-2026,2025.0,1630623,Tyson Etienne,1122.0,1119.0,0.089,-0.997,-1.193,-2.189,-1.034,0.757,-0.277,-0.402,-0.875,-1.277,-0.624,-0.898,-1.522,-1.62,-2.091,-3.711,-1.994,-3.88,-5.873,-1.399,-2.068,tyson etienne,Tyson Etienne,Brooklyn Nets,-1.7,-1.8,-3.5,-2.382,-1.274,-1.108,475.0,440.5,-34.5,-1.183,-0.649,-0.535,435.0,352.0,-83.0,-2.59,-1.678,-0.911,475.0,461.0,-14.0,-2.102,531.0,0.542,0.068,1.898,3.525,3.797,guard,<1000
