held_out,side,miss,poss,rows,names
1998,D,-23.959076071011307,216.0,54,"Jeff Hornacek, Karl Malone, John Stockton, Greg Ostertag, Bryon Russell"
1998,O,18.791598396260977,248.0,75,"Nick Van Exel, Robert Horry, Eddie Jones, Shaquille O'Neal, Kobe Bryant"
1998,O,16.93714228054142,203.0,64,"Jeff Hornacek, Karl Malone, John Stockton, Bryon Russell, Shandon Anderson"
1998,O,-15.332271552839861,268.0,46,"Patrick Ewing, Chris Mills, Allan Houston, Charlie Ward, Charles Oakley"
1998,O,15.321647270377186,378.0,52,"Michael Smith, Lee Mayberry, Bryant Reeves, Blue Edwards, Shareef Abdur-Rahim"
1998,O,14.541676238483438,203.0,35,"Brian Grant, Isaiah Rider, Arvydas Sabonis, Rasheed Wallace, Damon Stoudamire"
1998,O,-14.443697205657934,231.0,30,"Billy Owens, Corliss Williamson, Otis Thorpe, Tariq Abdul-Wahad, Anthony Johnson"
1998,O,-14.41512866385173,243.0,41,"Bison Dele, Joe Dumars, Grant Hill, Lindsey Hunter, Theo Ratliff"
1998,O,13.85022631528263,236.0,68,"LaPhonso Ellis, Johnny Newman, Cory Alexander, Anthony Goldwire, Dean Garrett"
1998,O,13.502708833445906,404.0,116,"Kendall Gill, Jayson Williams, Sherman Douglas, Kerry Kittles, Keith Van Horn"
1998,O,13.412225607017056,229.0,32,"Avery Johnson, David Robinson, Will Perdue, Jaren Jackson, Tim Duncan"
1998,O,13.368779829497981,266.0,92,"Jeff Hornacek, Adam Keefe, Karl Malone, Howard Eisley, Greg Ostertag"
1998,D,-13.081280216295983,229.0,79,"Dana Barros, Antoine Walker, Walter McCarty, Travis Knight, Ron Mercer"
1998,D,12.55461866762019,309.0,83,"Shawn Kemp, Wesley Person, Zydrunas Ilgauskas, Derek Anderson, Cedric Henderson"
1998,D,12.469049135085147,645.0,135,"Nick Van Exel, Robert Horry, Eddie Jones, Rick Fox, Shaquille O'Neal"
1998,O,-12.345236909849744,205.0,28,"Cedric Ceballos, Clifford Robinson, Rex Chapman, Jason Kidd, Antonio McDyess"
1998,D,12.275294155211236,201.0,25,"Cedric Ceballos, Clifford Robinson, Rex Chapman, Jason Kidd, Antonio McDyess"
1998,D,12.164685577348143,267.0,44,"Patrick Ewing, Chris Mills, Allan Houston, Charlie Ward, Charles Oakley"
1998,D,-11.949830894643211,372.0,73,"Clyde Drexler, Mario Elie, Hakeem Olajuwon, Charles Barkley, Matt Maloney"
1998,O,11.36298427468657,229.0,47,"Grant Long, Bison Dele, Joe Dumars, Grant Hill, Jerry Stackhouse"
1998,D,11.333041614663252,202.0,72,"Terrell Brandon, Tyrone Hill, Armen Gilliam, Glenn Robinson, Ray Allen"
1998,D,11.083620803952922,310.0,80,"Antoine Walker, Walter McCarty, Travis Knight, Chauncey Billups, Ron Mercer"
1998,D,-10.887570942804226,223.0,37,"Michael Smith, Lee Mayberry, Tony Massenburg, Blue Edwards, Shareef Abdur-Rahim"
1998,O,-10.813992851352424,243.0,104,"Jalen Rose, Antonio Davis, Derrick McKey, Reggie Miller, Travis Best"
1998,O,10.686290440584594,251.0,86,"Terry Porter, Sam Mitchell, Cherokee Parks, Kevin Garnett, Stephon Marbury"
1998,D,10.679419230688476,388.0,67,"Kenny Anderson, Brian Grant, Isaiah Rider, Arvydas Sabonis, Rasheed Wallace"
1998,O,10.672832341223621,545.0,85,"Mark Bryant, Clifford Robinson, Rex Chapman, Jason Kidd, Antonio McDyess"
1998,O,10.51124503885332,353.0,89,"Sam Cassell, Michael Cage, Kendall Gill, Kerry Kittles, Keith Van Horn"
1998,D,-10.368061234056135,334.0,73,"Terrell Brandon, Armen Gilliam, Michael Curry, Ervin Johnson, Ray Allen"
1998,D,10.159253789350945,258.0,42,"Gary Payton, Detlef Schrempf, Vin Baker, Hersey Hawkins, Aaron Williams"
1998,D,-9.961623698953247,605.0,138,"Jeff Hornacek, Adam Keefe, Karl Malone, Greg Foster, Howard Eisley"
1998,D,9.91841113500633,475.0,130,"Avery Johnson, Chuck Person, David Robinson, Jaren Jackson, Tim Duncan"
1998,D,-9.718322481994791,344.0,68,"Dennis Scott, Khalid Reeves, Michael Finley, Shawn Bradley, A.C. Green"
1998,D,9.71324003689276,299.0,88,"Vlade Divac, David Wesley, Anthony Mason, Dell Curry, Glen Rice"
1998,D,-9.645212259181166,202.0,35,"Luc Longley, Ron Harper, Toni Kukoc, Michael Jordan, Scottie Pippen"
1998,D,9.232572968753336,509.0,105,"Sean Elliott, Avery Johnson, David Robinson, Jaren Jackson, Tim Duncan"
1998,O,9.210638478412125,846.0,160,"Robert Horry, Eddie Jones, Rick Fox, Shaquille O'Neal, Derek Fisher"
1998,D,9.197760240249359,462.0,63,"Patrick Ewing, Allan Houston, Charlie Ward, Charles Oakley, Larry Johnson"
1998,O,9.182301247153067,480.0,74,"Dennis Rodman, Ron Harper, Toni Kukoc, Michael Jordan, Scottie Pippen"
1998,O,-9.149543156113436,365.0,72,"Hubert Davis, Khalid Reeves, Michael Finley, Shawn Bradley, A.C. Green"
1998,D,-9.113132059271823,215.0,38,"Kevin Johnson, Clifford Robinson, Rex Chapman, Jason Kidd, Antonio McDyess"
1998,D,9.104951337696642,291.0,72,"Andrew DeClercq, Antoine Walker, Walter McCarty, Chauncey Billups, Ron Mercer"
1998,O,-9.016022891037078,324.0,82,"Antoine Walker, Walter McCarty, Travis Knight, Chauncey Billups, Ron Mercer"
1998,O,8.80730991659897,428.0,62,"Eric Piatkowski, Darrick Martin, Lamond Murray, Rodney Rogers, Ike Austin"
1998,D,-8.627704430646228,294.0,77,"Tracy Murray, Chris Webber, Calbert Cheaney, Rod Strickland, Terry Davis"
1998,O,8.616837948509087,336.0,49,"Michael Smith, Lee Mayberry, Sam Mack, Bryant Reeves, Shareef Abdur-Rahim"
1998,O,8.469398754599569,288.0,69,"Hubert Davis, Michael Finley, Shawn Bradley, A.C. Green, Erick Strickland"
1998,D,8.429580982530101,368.0,102,"Shawn Kemp, Wesley Person, Zydrunas Ilgauskas, Derek Anderson, Brevin Knight"
1998,D,-8.362037570563585,348.0,59,"Billy Owens, Corliss Williamson, Mitch Richmond, Otis Thorpe, Anthony Johnson"
1998,D,-8.351626210099605,224.0,53,"Terry Porter, Sam Mitchell, Kevin Garnett, Stanley Roberts, Stephon Marbury"
1998,D,-8.289579105764942,329.0,76,"Vinny Del Negro, Avery Johnson, Chuck Person, David Robinson, Tim Duncan"
1998,O,8.101921804645364,215.0,28,"Antoine Carr, Jeff Hornacek, Adam Keefe, Karl Malone, John Stockton"
1998,O,-8.073316817719016,434.0,132,"Jalen Rose, Antonio Davis, Derrick McKey, Travis Best, Fred Hoiberg"
1998,D,8.058053220119081,201.0,36,"Brian Grant, Isaiah Rider, Arvydas Sabonis, Rasheed Wallace, Damon Stoudamire"
1998,O,8.047406680659668,328.0,98,"Nick Anderson, Derek Harper, Horace Grant, Derek Strong, Bo Outlaw"
1998,D,-7.763346216489715,252.0,77,"Nick Van Exel, Robert Horry, Eddie Jones, Shaquille O'Neal, Kobe Bryant"
1998,O,-7.692088818948428,341.0,73,"Kenny Anderson, Isaiah Rider, Arvydas Sabonis, Gary Trent, Rasheed Wallace"
1998,O,7.554215379223947,490.0,134,"Avery Johnson, Chuck Person, David Robinson, Jaren Jackson, Tim Duncan"
1998,D,-7.534220248913616,1014.0,177,"David Wesley, Bobby Phills, Anthony Mason, Matt Geiger, Glen Rice"
1998,O,7.454472545324905,225.0,37,"Michael Smith, Lee Mayberry, Tony Massenburg, Blue Edwards, Shareef Abdur-Rahim"
1998,O,-7.427514382375508,513.0,107,"Sean Elliott, Avery Johnson, David Robinson, Jaren Jackson, Tim Duncan"
1998,D,7.394784328254921,636.0,94,"Clyde Drexler, Mario Elie, Hakeem Olajuwon, Kevin Willis, Matt Maloney"
1998,D,-7.334319561625282,552.0,177,"Tracy Murray, Chris Webber, Calbert Cheaney, Rod Strickland, Juwan Howard"
1998,D,7.2334390279636676,425.0,61,"Jeff Hornacek, Adam Keefe, Karl Malone, John Stockton, Greg Ostertag"
1998,D,-7.216608655219874,385.0,54,"Michael Smith, Lee Mayberry, Bryant Reeves, Blue Edwards, Shareef Abdur-Rahim"
1998,O,-7.169402909438136,346.0,62,"Latrell Sprewell, Joe Smith, Bimbo Coles, Donyell Marshall, Erick Dampier"
1998,O,7.151679080551953,395.0,71,"Kenny Anderson, Brian Grant, Isaiah Rider, Arvydas Sabonis, Rasheed Wallace"
1998,O,7.1492715099666695,616.0,196,"Gary Payton, Sam Perkins, Detlef Schrempf, Vin Baker, Hersey Hawkins"
1998,D,7.080647459766364,1938.0,308,"Rik Smits, Mark Jackson, Reggie Miller, Chris Mullin, Dale Davis"
1998,D,-7.014994188778789,391.0,67,"Terrell Brandon, Armen Gilliam, Glenn Robinson, Ervin Johnson, Ray Allen"
1998,D,6.960384039306133,284.0,85,"Rik Smits, Antonio Davis, Mark Jackson, Reggie Miller, Chris Mullin"
1998,D,-6.770721492832442,250.0,85,"Terry Porter, Sam Mitchell, Cherokee Parks, Kevin Garnett, Stephon Marbury"
