held_out,side,miss,poss,rows,names
1998,D,-23.81576863028191,216.0,54,"Jeff Hornacek, Karl Malone, John Stockton, Greg Ostertag, Bryon Russell"
1998,O,18.337123034120992,248.0,75,"Nick Van Exel, Robert Horry, Eddie Jones, Shaquille O'Neal, Kobe Bryant"
1998,O,16.51363559289438,203.0,64,"Jeff Hornacek, Karl Malone, John Stockton, Bryon Russell, Shandon Anderson"
1998,O,-15.473753035840263,268.0,46,"Patrick Ewing, Chris Mills, Allan Houston, Charlie Ward, Charles Oakley"
1998,O,15.42666134857257,378.0,52,"Michael Smith, Lee Mayberry, Bryant Reeves, Blue Edwards, Shareef Abdur-Rahim"
1998,O,14.591514369693282,203.0,35,"Brian Grant, Isaiah Rider, Arvydas Sabonis, Rasheed Wallace, Damon Stoudamire"
1998,O,-14.360697412853854,231.0,30,"Billy Owens, Corliss Williamson, Otis Thorpe, Tariq Abdul-Wahad, Anthony Johnson"
1998,O,-14.2740375537992,243.0,41,"Bison Dele, Joe Dumars, Grant Hill, Lindsey Hunter, Theo Ratliff"
1998,O,14.027773340511368,236.0,68,"LaPhonso Ellis, Johnny Newman, Cory Alexander, Anthony Goldwire, Dean Garrett"
1998,D,-13.584612718225547,229.0,79,"Dana Barros, Antoine Walker, Walter McCarty, Travis Knight, Ron Mercer"
1998,O,13.482589370484892,404.0,116,"Kendall Gill, Jayson Williams, Sherman Douglas, Kerry Kittles, Keith Van Horn"
1998,O,13.327980334250222,266.0,92,"Jeff Hornacek, Adam Keefe, Karl Malone, Howard Eisley, Greg Ostertag"
1998,O,13.080998614889154,229.0,32,"Avery Johnson, David Robinson, Will Perdue, Jaren Jackson, Tim Duncan"
1998,D,12.914433608105842,645.0,135,"Nick Van Exel, Robert Horry, Eddie Jones, Rick Fox, Shaquille O'Neal"
1998,D,12.903021794165237,267.0,44,"Patrick Ewing, Chris Mills, Allan Houston, Charlie Ward, Charles Oakley"
1998,D,12.39497482160222,201.0,25,"Cedric Ceballos, Clifford Robinson, Rex Chapman, Jason Kidd, Antonio McDyess"
1998,O,-12.272656615859724,205.0,28,"Cedric Ceballos, Clifford Robinson, Rex Chapman, Jason Kidd, Antonio McDyess"
1998,D,11.99138915912166,309.0,83,"Shawn Kemp, Wesley Person, Zydrunas Ilgauskas, Derek Anderson, Cedric Henderson"
1998,D,-11.419957458100383,372.0,73,"Clyde Drexler, Mario Elie, Hakeem Olajuwon, Charles Barkley, Matt Maloney"
1998,D,11.289119746334462,202.0,72,"Terrell Brandon, Tyrone Hill, Armen Gilliam, Glenn Robinson, Ray Allen"
1998,D,-11.147143953773128,223.0,37,"Michael Smith, Lee Mayberry, Tony Massenburg, Blue Edwards, Shareef Abdur-Rahim"
1998,O,10.975026769037028,229.0,47,"Grant Long, Bison Dele, Joe Dumars, Grant Hill, Jerry Stackhouse"
1998,D,10.898267145355163,388.0,67,"Kenny Anderson, Brian Grant, Isaiah Rider, Arvydas Sabonis, Rasheed Wallace"
1998,O,-10.600035679840367,243.0,104,"Jalen Rose, Antonio Davis, Derrick McKey, Reggie Miller, Travis Best"
1998,D,10.5032435071586,258.0,42,"Gary Payton, Detlef Schrempf, Vin Baker, Hersey Hawkins, Aaron Williams"
1998,D,10.491114909687282,310.0,80,"Antoine Walker, Walter McCarty, Travis Knight, Chauncey Billups, Ron Mercer"
1998,O,10.484034471951043,353.0,89,"Sam Cassell, Michael Cage, Kendall Gill, Kerry Kittles, Keith Van Horn"
1998,D,-10.457086831906418,334.0,73,"Terrell Brandon, Armen Gilliam, Michael Curry, Ervin Johnson, Ray Allen"
1998,O,10.298697195808314,545.0,85,"Mark Bryant, Clifford Robinson, Rex Chapman, Jason Kidd, Antonio McDyess"
1998,O,10.285894975833738,251.0,86,"Terry Porter, Sam Mitchell, Cherokee Parks, Kevin Garnett, Stephon Marbury"
1998,D,9.960352544419447,475.0,130,"Avery Johnson, Chuck Person, David Robinson, Jaren Jackson, Tim Duncan"
1998,D,-9.896369540647104,344.0,68,"Dennis Scott, Khalid Reeves, Michael Finley, Shawn Bradley, A.C. Green"
1998,D,-9.801748591524564,605.0,138,"Jeff Hornacek, Adam Keefe, Karl Malone, Greg Foster, Howard Eisley"
1998,D,9.782327026719694,299.0,88,"Vlade Divac, David Wesley, Anthony Mason, Dell Curry, Glen Rice"
1998,D,9.680011467933683,509.0,105,"Sean Elliott, Avery Johnson, David Robinson, Jaren Jackson, Tim Duncan"
1998,D,9.67074497773252,462.0,63,"Patrick Ewing, Allan Houston, Charlie Ward, Charles Oakley, Larry Johnson"
1998,O,-9.433892479998534,365.0,72,"Hubert Davis, Khalid Reeves, Michael Finley, Shawn Bradley, A.C. Green"
1998,O,9.430508785450538,480.0,74,"Dennis Rodman, Ron Harper, Toni Kukoc, Michael Jordan, Scottie Pippen"
1998,D,-9.326933815429001,215.0,38,"Kevin Johnson, Clifford Robinson, Rex Chapman, Jason Kidd, Antonio McDyess"
1998,D,-9.263202830702799,202.0,35,"Luc Longley, Ron Harper, Toni Kukoc, Michael Jordan, Scottie Pippen"
1998,O,9.244745366060808,428.0,62,"Eric Piatkowski, Darrick Martin, Lamond Murray, Rodney Rogers, Ike Austin"
